,speciesCODE,spName,Contribution,colCode
0,infofauna:22880,Cerambyx scopolii [COLE],1.0334183331096498,#621980
0,infofauna:31040,Iphiclides podalirius [LEPI],12.689571869547711,#fec68a
0,infofauna:31280,Cilix glaucata [LEPI],0.0201315259696685,#311165
0,infoflora:71900,Calamintha menthifolia [TRAC],0.8924976513219702,#311165
0,infoflora:398100,Sison amomum [TRAC],0.2617098376056905,#311165
0,swissfungi:25519,Melampsora euonymi-caprearum [FUNG],0.05368406925244934,#311165
0,infoflora:76800,Campanula rapunculoides [TRAC],2.160783787411086,#912b81
0,infoflora:139400,Dipsacus pilosus [TRAC],0.30197288954502755,#311165
0,infoflora:214100,Inula conyzae [TRAC],2.301704469198765,#912b81
0,infoflora:206200,Himantoglossum hircinum [TRAC],1.4360488525030197,#621980
0,infoflora:7600,Agrimonia procera [TRAC],0.241578311636022,#311165
0,infofauna:31004,Carterocephalus palaemon [LEPI],1.892363441148839,#621980
0,nism:1520,Homalothecium lutescens [BRYO],0.9596027378875318,#311165
0,infofauna:21338,Anthaxia nitidula [COLE],0.8052610387867399,#311165
0,infofauna:31133,Thecla betulae [LEPI],0.6710508656556167,#311165
0,infofauna:70809,Muscardinus avellanarius [MAMM],0.9394712119178633,#311165
0,swissfungi:419,Auricularia auricula-judae [FUNG],0.7448664608777346,#311165
0,infoflora:67600,Bryonia dioica [TRAC],1.127365454301436,#621980
0,infoflora:350300,Rosa stylosa [TRAC],0.3824989934237015,#311165
0,infoflora:348600,Rosa gallica [TRAC],0.5368406925244934,#311165
0,infoflora:296900,Peucedanum cervaria [TRAC],1.3890752919071265,#621980
0,swissfungi:6466,Schizophyllum commune [FUNG],2.4224936250167763,#912b81
0,infoflora:230800,Lathyrus sylvestris [TRAC],1.3622332572809017,#621980
0,infofauna:21383,Agrilus viridis [COLE],0.34223594148436454,#311165
0,infofauna:22991,Oberea oculata [COLE],0.28855187223191514,#311165
0,swissfungi:2303,Encoelia furfuracea [FUNG],0.322104415514696,#311165
0,infofauna:23007,Tetrops starkii [COLE],0.0603945779090055,#311165
0,infoflora:205600,Hieracium umbellatum [TRAC],0.5703932358072742,#311165
0,swissfungi:4022,Lactarius pyrogalus [FUNG],0.4630250973023755,#311165
0,swissfungi:4154,Leccinum aurantiacum [FUNG],0.21473627700979736,#311165
0,infofauna:31205,Coenonympha arcania [LEPI],6.650114078647161,#ec5860
0,infoflora:181900,Genista sagittalis [TRAC],2.140652261441417,#912b81
