,speciesCODE,spName,Contribution,colCode
0,swisslichens:1051,Peltigera rufescens [LICH],0.36029202616857875,#311165
0,swissfungi:7632,Entoloma longistriatum [FUNG],0.02844410732909832,#311165
0,swissfungi:3175,Hygrocybe calciphila [FUNG],0.02844410732909832,#311165
0,swissfungi:611,Bovista nigrescens [FUNG],0.05688821465819664,#311165
0,swissfungi:614,Bovista pusilla [FUNG],0.0711102683227458,#311165
0,swissfungi:615,Bovista tomentosa [FUNG],0.05688821465819664,#311165
0,swissfungi:728,Camarophyllus fuscescens [FUNG],0.00948136910969944,#311165
0,infoflora:196700,Helictotrichon pratense [TRAC],1.270503460699725,#621980
0,swissfungi:610,Bovista limosa [FUNG],0.0474068455484972,#311165
0,swissfungi:2734,Geastrum minimum [FUNG],0.02844410732909832,#311165
0,swissfungi:320,Arrhenia auriscalpium [FUNG],0.00474068455484972,#311165
0,swissfungi:2449,Entoloma poliopus [FUNG],0.01422205366454916,#311165
0,swisslichens:1202,Lecidea lurida [LICH],0.22755285863278657,#311165
0,swisslichens:333,Cetraria islandica [LICH],0.32710723428463073,#311165
0,nism:905,Bryum intermedium [BRYO],0.0,#311165
0,infoflora:33300,Anemone baldensis [TRAC],0.10429506020669384,#311165
0,infoflora:240700,Linum alpinum [TRAC],0.44088366360102405,#311165
0,infoflora:337800,Ranunculus carinthiacus [TRAC],0.2607376505167346,#311165
0,swissfungi:3612,Inocybe fuscomarginata [FUNG],0.06162889921304636,#311165
0,infoflora:260400,Minuartia capillacea [TRAC],0.01422205366454916,#311165
0,infoflora:77500,Campanula thyrsoides [TRAC],0.796435005214753,#311165
0,nism:2388,Tortula mucronifolia [BRYO],0.02844410732909832,#311165
0,infoflora:120400,Coronilla vaginalis [TRAC],0.4882905091495212,#311165
0,infoflora:51800,Aster alpinus [TRAC],1.8251635536171422,#621980
0,infoflora:33400,Anemone narcissiflora [TRAC],1.8630890300559402,#621980
0,infoflora:341800,Ranunculus thora [TRAC],0.05214753010334692,#311165
0,infoflora:271450,Nigritella austriaca [TRAC],0.25125628140703515,#311165
0,infoflora:33000,Androsace villosa [TRAC],0.01422205366454916,#311165
0,swisslichens:3099,Caloplaca sinapisperma [LICH],0.05214753010334692,#311165
0,infoflora:393800,Sideritis hyssopifolia [TRAC],0.06162889921304636,#311165
0,infoflora:211400,Hypericum richeri [TRAC],0.10429506020669384,#311165
0,infoflora:123300,Crepis bocconei [TRAC],0.2797003887361335,#311165
0,infofauna:31230,Erebia oeme [LEPI],1.848866976391391,#621980
0,swisslichens:2927,Lecanora epibryon [LICH],0.00474068455484972,#311165
0,swisslichens:4015,Phaeorrhiza nimbosa [LICH],0.00474068455484972,#311165
0,infoflora:391150,Serratula tinctoria [TRAC],0.24177491229733575,#311165
0,swisslichens:1327,Solorina bispora [LICH],0.033184791883948045,#311165
0,infoflora:292100,Paradisea liliastrum [TRAC],1.218355930596378,#621980
0,infoflora:271655,Nigritella rhellicani [TRAC],0.29392244240068266,#311165
0,infoflora:24900,Allium victorialis [TRAC],0.41718024082677535,#311165
0,infoflora:194300,Helianthemum alpestre [TRAC],0.5736228311368161,#311165
0,infoflora:230200,Lathyrus occidentalis [TRAC],0.3318479188394804,#311165
0,infofauna:59919,Bombus mesomelas [APID],0.9007300654214468,#311165
0,infoflora:247900,Luzula spicata [TRAC],0.04266616099364748,#311165
0,infoflora:234600,Leontopodium alpinum [TRAC],1.1140608703896844,#621980
0,nism:2286,Stegonia latifolia [BRYO],0.06636958376789609,#311165
0,infoflora:221600,Knautia dipsacifolia [TRAC],0.01422205366454916,#311165
0,swissfungi:25155,Cuphophyllus pratensis [FUNG],0.118517113871243,#311165
0,infoflora:212200,Hypochaeris uniflora [TRAC],0.967099649189343,#311165
0,swisslichens:1038,Peltigera aphthosa [LICH],0.09955437565184412,#311165
0,swisslichens:1045,Peltigera leucophlebia [LICH],0.08533232198729496,#311165
0,infoflora:237600,Ligusticum lucidum [TRAC],0.03792547643879776,#311165
0,infofauna:18074,Notiophilus germinyi [COLEca],0.05214753010334692,#311165
0,infoflora:313100,Polygala serpyllifolia [TRAC],0.118517113871243,#311165
0,infoflora:81700,Carduus defloratus [TRAC],0.01896273821939888,#311165
0,swissfungi:7635,Entoloma xanthochroum [FUNG],0.01422205366454916,#311165
0,infofauna:59631,Hoplitis villosa [APID],0.0948136910969944,#311165
0,infoflora:136860,Dianthus superbus [TRAC],0.02844410732909832,#311165
0,swissfungi:2375,Entoloma favrei [FUNG],0.0474068455484972,#311165
0,swissfungi:6805,Thelephora caryophyllea [FUNG],0.06162889921304636,#311165
0,swissfungi:2501,Entoloma turci [FUNG],0.033184791883948045,#311165
0,infoflora:312400,Polygala alpina [TRAC],0.0948136910969944,#311165
0,swissfungi:1012,Clitocybe concava [FUNG],0.0,#311165
0,infoflora:43900,Arenaria grandiflora [TRAC],0.06636958376789609,#311165
0,infoflora:19900,Alchemilla splendens [TRAC],0.033184791883948045,#311165
0,infoflora:170000,Festuca quadriflora [TRAC],0.5356973546980184,#311165
0,swissfungi:2384,Entoloma griseocyaneum [FUNG],0.033184791883948045,#311165
0,infoflora:259300,Meum athamanticum [TRAC],0.07585095287759552,#311165
0,nism:440,Scapania curta [BRYO],0.10429506020669384,#311165
0,infoflora:301100,Phyteuma globulariifolium [TRAC],0.033184791883948045,#311165
0,nism:1956,Pohlia proligera [BRYO],0.01422205366454916,#311165
0,swissfungi:7400,Laccaria pumila [FUNG],0.00474068455484972,#311165
0,infofauna:27034,Pharmacis fusconebulosa [LEPI],0.0,#311165
0,infoflora:223300,Koeleria eriostachya [TRAC],0.0237034227742486,#311165
0,infoflora:229000,Lathyrus bauhinii [TRAC],0.04266616099364748,#311165
0,infofauna:59527,Anthidium montanum [APID],0.06162889921304636,#311165
0,nism:1150,Cyrtomnium hymenophylloides [BRYO],0.05214753010334692,#311165
0,nism:1135,Hypnum procerrimum [BRYO],0.11377642931639328,#311165
0,infoflora:223500,Koeleria hirsuta [TRAC],0.08059163743244524,#311165
0,swissfungi:25206,Arrhenia obscurata [FUNG],0.05688821465819664,#311165
0,swissfungi:5082,Lichenomphalia hudsoniana [FUNG],0.01422205366454916,#311165
0,infoflora:31800,Androsace chamaejasme [TRAC],0.9528775955247938,#311165
0,swisslichens:3148,Cetraria cucullata [LICH],0.02844410732909832,#311165
0,infoflora:36395,Anthyllis montana [TRAC],0.00474068455484972,#311165
0,swissfungi:1019,Clitocybe dryadicola [FUNG],0.00474068455484972,#311165
0,swissfungi:2454,Entoloma prunuloides [FUNG],0.01422205366454916,#311165
0,swissfungi:6346,Russula nana [FUNG],0.08533232198729496,#311165
0,infoflora:99400,Centaurea nervosa [TRAC],0.592585569356215,#311165
0,infoflora:9000,Agrostis schleicheri [TRAC],0.0237034227742486,#311165
0,infoflora:237900,Ligusticum mutellinoides [TRAC],0.4693277709301223,#311165
0,infoflora:339200,Ranunculus kuepferi [TRAC],0.4503650327107234,#311165
0,infoflora:296700,Peucedanum austriacum [TRAC],0.11377642931639328,#311165
0,infoflora:53700,Astragalus depressus [TRAC],0.05214753010334692,#311165
0,infoflora:293700,Pedicularis ascendens [TRAC],0.237034227742486,#311165
0,vogelwarte:1540,Lagopus muta [AVES],17.16127808855599,#fcfdbf
0,infoflora:406500,Stachys pradica [TRAC],0.11377642931639328,#311165
0,vogelwarte:1560,Alectoris graeca [AVES],9.628330330899782,#fc8e64
0,infoflora:275400,Onobrychis montana [TRAC],1.6734616478619513,#621980
0,infofauna:18503,Amara praetermissa [COLEca],0.08533232198729496,#311165
0,infoflora:137800,Diphasiastrum alpinum [TRAC],0.28918175784583294,#311165
0,infofauna:17640,Anonconotus alpinus [ORTH],0.46458708637527263,#311165
0,infoflora:53900,Astragalus frigidus [TRAC],0.5688821465819665,#311165
0,infofauna:17734,Arcyptera fusca [ORTH],0.6115483075756138,#311165
0,infofauna:31215,Erebia arvernensis [LEPI],0.29392244240068266,#311165
0,infoflora:183000,Gentiana brachyphylla [TRAC],0.2986631269555324,#311165
0,infoflora:199900,Hieracium alpinum [TRAC],0.5831042002465157,#311165
0,infofauna:31056,Colias phicomone [LEPI],2.2281217407793688,#912b81
0,swissfungi:183,Amanita nivalis [FUNG],0.02844410732909832,#311165
0,infofauna:31082,Agriades orbitulus [LEPI],0.5072532473689201,#311165
0,infofauna:31232,Erebia pharte [LEPI],1.5502038494358585,#621980
0,infoflora:37300,Anthyllis vulneraria [TRAC],0.6542144685692615,#311165
0,infoflora:38800,Aquilegia alpina [TRAC],0.2844410732909832,#311165
0,infofauna:31223,Erebia manto [LEPI],1.8536076609462406,#621980
0,infofauna:31168,Euphydryas aurinia [LEPI],0.9339148573053948,#311165
0,infoflora:162500,Euphrasia hirtella [TRAC],0.38873613349767705,#311165
0,infoflora:54600,Astragalus penduliflorus [TRAC],0.4693277709301223,#311165
0,infoflora:154200,Erigeron atticus [TRAC],0.05214753010334692,#311165
0,infofauna:31065,Pontia callidice [LEPI],0.43140229449132456,#311165
0,infoflora:141800,Dracocephalum ruyschiana [TRAC],0.2559969659618849,#311165
0,infofauna:29320,Zygaena exulans [LEPI],0.9765810182990424,#311165
0,infoflora:29620,Anacamptis pyramidalis [TRAC],0.203849435858538,#311165
0,swissfungi:23593,Gnomonia dryadis [FUNG],0.0237034227742486,#311165
0,infoflora:182300,Gentiana alpina [TRAC],0.06162889921304636,#311165
0,infoflora:227500,Laserpitium halleri [TRAC],1.1425049777187826,#621980
0,infoflora:107700,Chamorchis alpina [TRAC],0.7395467905565564,#311165
0,infoflora:102200,Cerastium alpinum [TRAC],0.09955437565184412,#311165
0,infoflora:288800,Oxytropis halleri [TRAC],0.12325779842609272,#311165
0,swissfungi:3780,Inocybe xanthomelas [FUNG],0.06162889921304636,#311165
0,swisslichens:1331,Solorina spongiosa [LICH],0.04266616099364748,#311165
0,nism:443,Scapania gymnostomophila [BRYO],0.01896273821939888,#311165
0,infofauna:31231,Erebia pandrose [LEPI],0.9386555418602446,#311165
0,infofauna:31227,Erebia mnestra [LEPI],0.526215985588319,#311165
0,swissfungi:2935,Hebeloma repandum [FUNG],0.0237034227742486,#311165
0,swissfungi:13356,Clitocybe bresadolana [FUNG],0.01422205366454916,#311165
0,infofauna:31057,Euchloe simplonia [LEPI],0.5688821465819665,#311165
0,swissfungi:12097,Neottiella vivida [FUNG],0.00948136910969944,#311165
0,swisslichens:1046,Peltigera malacea [LICH],0.06162889921304636,#311165
0,swisslichens:1084,Pertusaria oculata [LICH],0.00474068455484972,#311165
0,swisslichens:331,Cetraria ericetorum [LICH],0.04266616099364748,#311165
0,swisslichens:336,Cetraria nivalis [LICH],0.02844410732909832,#311165
0,swisslichens:806,Lecidoma demissum [LICH],0.01422205366454916,#311165
0,nism:540,Amphidium lapponicum [BRYO],0.0237034227742486,#311165
0,infoflora:321400,Potentilla brauneana [TRAC],0.08533232198729496,#311165
0,infofauna:18003,Cicindela gallica [COLEca],0.033184791883948045,#311165
0,infofauna:18495,Amara erratica [COLEca],0.09007300654214469,#311165
0,swissfungi:25204,Arrhenia obatra [FUNG],0.00948136910969944,#311165
0,infofauna:59901,Bombus alpinus [APID],0.02844410732909832,#311165
0,infofauna:59918,Bombus mendax [APID],0.10903574476154357,#311165
0,infoflora:383400,Sedum anacampseros [TRAC],0.0474068455484972,#311165
0,nism:553,Andreaea frigida [BRYO],0.01896273821939888,#311165
0,nism:2283,Splachnum sphaericum [BRYO],0.05688821465819664,#311165
0,infoflora:43400,Arenaria biflora [TRAC],0.22281217407793685,#311165
0,infofauna:31171,Euphydryas cynthia [LEPI],0.7679908978856547,#311165
0,infoflora:282300,Oreochloa disticha [TRAC],0.237034227742486,#311165
0,nism:1505,Heterocladium dimorphum [BRYO],0.20859012041338768,#311165
0,nism:1986,Polytrichum sexangulare [BRYO],0.19910875130368824,#311165
0,nism:1903,Pohlia camptotrachela [BRYO],0.0,#311165
0,nism:1142,Cynodontium gracilescens [BRYO],0.08533232198729496,#311165
0,infoflora:200100,Hieracium angustifolium [TRAC],0.1848866976391391,#311165
0,nism:1257,Ditrichum zonatum [BRYO],0.01422205366454916,#311165
0,nism:1656,Kiaeria starkei [BRYO],0.21333080496823742,#311165
0,nism:29,Anthelia juratzkana [BRYO],0.1848866976391391,#311165
0,nism:329,Nardia breidleri [BRYO],0.00474068455484972,#311165
0,infoflora:382400,Scutellaria alpina [TRAC],0.06162889921304636,#311165
0,infoflora:43560,Arenaria ciliata [TRAC],0.203849435858538,#311165
0,swisslichens:3205,Dactylina madreporiformis [LICH],0.01422205366454916,#311165
0,infofauna:8161,Eucobresia nivalis [MOLL],0.0237034227742486,#311165
0,infoflora:13100,Alchemilla decumbens [TRAC],0.04266616099364748,#311165
0,swissfungi:2397,Entoloma infula [FUNG],0.00948136910969944,#311165
0,swissfungi:8332,Russula dryadicola [FUNG],0.0474068455484972,#311165
0,swisslichens:2231,Thamnolia vermicularis [LICH],0.22281217407793685,#311165
0,infoflora:54800,Astragalus sempervirens [TRAC],0.09007300654214469,#311165
0,infoflora:43500,Arenaria ciliata [TRAC],0.18014601308428937,#311165
0,infofauna:18395,Pterostichus honnoratii [COLEca],0.0,#311165
0,infoflora:238300,Lilium bulbiferum [TRAC],0.4930311937043709,#311165
0,swissfungi:6358,Russula pascua [FUNG],0.02844410732909832,#311165
0,swissfungi:7974,Russula oreina [FUNG],0.00474068455484972,#311165
0,infoflora:122900,Crepis alpestris [TRAC],0.19910875130368824,#311165
