,speciesCODE,spName,Contribution,colCode
0,infoflora:367300,Salvia glutinosa [TRAC],1.2924572196660291,#621980
0,infoflora:167400,Festuca gigantea [TRAC],1.8456289096830896,#621980
0,infoflora:159400,Euphorbia amygdaloides [TRAC],3.251822364679729,#912b81
0,infoflora:159900,Euphorbia dulcis [TRAC],2.4194799152148065,#912b81
0,infoflora:231200,Lathyrus vernus [TRAC],2.5642351238174017,#912b81
0,swissfungi:2464,Entoloma rhodopolium [FUNG],0.2584914439332058,#311165
0,swisslichens:153,Bacidia incompta [LICH],0.0,#311165
0,swisslichens:72,Arthonia cinnabarina [LICH],0.07237760430129762,#311165
0,vogelwarte:3450,Dryobates minor [AVES],0.10856640645194646,#311165
0,infoflora:180400,Galium sylvaticum [TRAC],1.1270226955487774,#621980
0,infoflora:33700,Anemone ranunculoides [TRAC],0.935739027038205,#311165
0,infoflora:332800,Pulmonaria obscura [TRAC],1.8507987385617535,#621980
0,swissfungi:1035,Clitocybe gibba [FUNG],0.9460786847955334,#311165
0,infoflora:92400,Carex pilosa [TRAC],0.47045442795843456,#311165
0,infoflora:6300,Adoxa moschatellina [TRAC],1.3803443106033189,#621980
0,nism:228,Lejeunea cavifolia [BRYO],0.5014734012304193,#311165
0,swissfungi:5890,Psathyrella piluliformis [FUNG],0.10339657757328233,#311165
0,swissfungi:7332,Xerula pudens [FUNG],0.07754743317996175,#311165
0,infoflora:270100,Neottia nidus-avis [TRAC],3.9755984076927056,#912b81
0,swissfungi:24641,Hymenopellis radicata [FUNG],0.8220027917075944,#311165
0,swissfungi:4842,Mycena renati [FUNG],0.47562425683709864,#311165
0,infoflora:369100,Sanicula europaea [TRAC],1.7784211342604561,#621980
0,swissfungi:4778,Mycena crocata [FUNG],0.310189732719847,#311165
0,swissfungi:5868,Psathyrella multipedata [FUNG],0.1292457219666029,#311165
0,swissfungi:6279,Russula delica [FUNG],0.5428320322597322,#311165
0,swissfungi:1811,Cortinarius rufoolivaceus [FUNG],0.025849144393320582,#311165
0,swissfungi:6373,Russula risigallina [FUNG],0.10339657757328233,#311165
0,swissfungi:13216,Amanita franchetii [FUNG],0.031018973271984697,#311165
0,swissfungi:1419,Cortinarius arcuatorum [FUNG],0.03618880215064881,#311165
0,swissfungi:2941,Hebeloma sinapizans [FUNG],0.356718192627824,#311165
0,swissfungi:4566,Megacollybia platyphylla [FUNG],1.158041668820762,#621980
0,swissfungi:3268,Hygrophorus penarius [FUNG],0.08271726205862587,#311165
0,swissfungi:3277,Hygrophorus russula [FUNG],0.051698288786641164,#311165
0,swissfungi:364,Ascocoryne sarcoides [FUNG],0.19645349738923643,#311165
0,swissfungi:2063,Cystolepiota seminuda [FUNG],0.2946802460838546,#311165
0,infoflora:300500,Phyllitis scolopendrium [TRAC],1.556118492477899,#621980
0,vogelwarte:4750,Phylloscopus sibilatrix [AVES],17.158662048286203,#fcfdbf
0,swissfungi:6869,Trametes gibbosa [FUNG],1.158041668820762,#621980
0,swissfungi:7340,Xylaria hypoxylon [FUNG],0.5738510055317169,#311165
0,nism:2724,Metzgeria violacea [BRYO],0.11890606420927466,#311165
0,swissfungi:188,Amanita phalloides [FUNG],0.5118130589877475,#311165
0,swissfungi:3558,Inocybe asterospora [FUNG],0.08271726205862587,#311165
0,swissfungi:3763,Inocybe tenebrosa [FUNG],0.041358631029312934,#311165
