,speciesCODE,spName,Contribution,colCode
0,swissfungi:6321,Russula integra [FUNG],0.6103018960045569,#311165
0,swisslichens:1008,Parmotrema chinense [LICH],0.07323622752054683,#311165
0,swissfungi:1645,Cortinarius ionosmus [FUNG],0.008137358613394093,#311165
0,swissfungi:199,Amanita submembranacea [FUNG],0.08951094474733502,#311165
0,swissfungi:3263,Hygrophorus lucorum [FUNG],0.07730490682724388,#311165
0,nism:2724,Metzgeria violacea [BRYO],0.07323622752054683,#311165
0,swisslichens:1226,Pyrenula nitida [LICH],0.08544226544063796,#311165
0,swisslichens:1227,Pyrenula nitidella [LICH],0.08951094474733502,#311165
0,swissfungi:1925,Cortinarius venetus [FUNG],0.19936528602815523,#311165
0,swissfungi:2046,Cystoderma amianthinum [FUNG],0.39873057205631046,#311165
0,swissfungi:966,Clavariadelphus truncatus [FUNG],0.07323622752054683,#311165
0,swissfungi:1586,Cortinarius flexipes [FUNG],0.1952966067214582,#311165
0,infoflora:332200,Pulmonaria mollis [TRAC],0.008137358613394093,#311165
0,swissfungi:6517,Scutellinia kerguelensis [FUNG],0.04882415168036455,#311165
0,nism:349,Pedinophyllum interruptum [BRYO],0.21157132394824638,#311165
0,nism:2485,Zygodon rupestris [BRYO],0.028480755146879325,#311165
0,swisslichens:343,Chaenotheca chrysocephala [LICH],0.17495321018797297,#311165
0,swisslichens:578,Hypocenomyce scalaris [LICH],0.10171698266742614,#311165
0,swisslichens:1033,Imshaugia aleurites [LICH],0.06916754821384978,#311165
0,swisslichens:3321,Hypocenomyce sorophora [LICH],0.016274717226788186,#311165
0,swissfungi:1466,Cortinarius brunneofulvus [FUNG],0.012206037920091138,#311165
0,swissfungi:1567,Cortinarius elegantior [FUNG],0.13833509642769956,#311165
0,swissfungi:5593,Pholiotina blattaria [FUNG],0.0610301896004557,#311165
0,swissfungi:974,Clavulina cinerea [FUNG],0.1424037757343966,#311165
0,swisslichens:1287,Rinodina efflorescens [LICH],0.024412075840182276,#311165
0,swissfungi:2339,Entoloma cetratum [FUNG],0.04475547237366751,#311165
0,swisslichens:1064,Pertusaria coccodes [LICH],0.13833509642769956,#311165
0,swissfungi:53,Agaricus langei [FUNG],0.0610301896004557,#311165
0,swissfungi:1605,Cortinarius glaucopus [FUNG],0.10578566197412319,#311165
0,swissfungi:3964,Lactarius badiosanguineus [FUNG],0.10171698266742614,#311165
0,swissfungi:2047,Cystoderma carcharias [FUNG],0.2441207584018228,#311165
0,swissfungi:3572,Inocybe cervicolor [FUNG],0.20750264464154933,#311165
0,swissfungi:6982,Tricholoma inamoenum [FUNG],0.09357962405403207,#311165
0,swisslichens:2798,Arthonia apatetica [LICH],0.012206037920091138,#311165
0,infoflora:113600,Circaea ×intermedia [TRAC],0.004068679306697047,#311165
0,swissfungi:6746,Suillus viscidus [FUNG],0.39466189274961344,#311165
0,swissfungi:6283,Russula emetica [FUNG],0.2726015135487021,#311165
0,swissfungi:2709,Ganoderma carnosum [FUNG],0.12612905850760844,#311165
0,swissfungi:1690,Cortinarius multiformis [FUNG],0.052892830987061594,#311165
0,swissfungi:3961,Lactarius aurantiacus [FUNG],0.19122792741476116,#311165
0,swissfungi:3273,Hygrophorus pudorinus [FUNG],0.353975099682643,#311165
0,swissfungi:4000,Lactarius intermedius [FUNG],0.08137358613394093,#311165
0,swissfungi:1561,Cortinarius duracinus [FUNG],0.028480755146879325,#311165
0,swissfungi:1856,Cortinarius stillatitius [FUNG],0.028480755146879325,#311165
0,swissfungi:23,Agaricus augustus [FUNG],0.1586784929611848,#311165
0,swissfungi:1552,Cortinarius delibutus [FUNG],0.10578566197412319,#311165
0,swissfungi:1518,Cortinarius collinitus [FUNG],0.03254943445357637,#311165
0,swissfungi:3247,Hygrophorus chrysodon [FUNG],0.33363170314915774,#311165
0,swissfungi:972,Clavulicium macounii [FUNG],0.1342664171210025,#311165
0,infoflora:286800,Orthilia secunda [TRAC],0.43128000650988696,#311165
0,swissfungi:7028,Tricholomopsis decora [FUNG],0.0976483033607291,#311165
0,swissfungi:4780,Mycena cyanorhiza [FUNG],0.05696151029375865,#311165
0,swissfungi:4847,Mycena rosella [FUNG],0.17902188949467004,#311165
0,swissfungi:3248,Hygrophorus discoideus [FUNG],0.14647245504109366,#311165
0,swissfungi:6444,Sarcodon imbricatus [FUNG],0.4272113272031899,#311165
0,swissfungi:7025,Tricholoma vaccinum [FUNG],0.33363170314915774,#311165
0,swissfungi:3239,Hygrophorus agathosmus [FUNG],0.3743184962161283,#311165
0,swissfungi:3822,Laccaria bicolor [FUNG],0.04068679306697046,#311165
0,swissfungi:7468,Cudonia circinans [FUNG],0.07323622752054683,#311165
0,vogelwarte:5450,Carduelis citrinella [AVES],10.362926194157376,#fec68a
0,swissfungi:7753,Lactarius zonarioides [FUNG],0.0610301896004557,#311165
0,swisslichens:490,Dimerella lutea [LICH],0.008137358613394093,#311165
0,swisslichens:142,Bacidia circumspecta [LICH],0.05696151029375865,#311165
0,vogelwarte:1550,Bonasa bonasia [AVES],7.807795589551632,#ec5860
0,vogelwarte:3460,Picoides tridactylus [AVES],3.7147042070144036,#912b81
0,swisslichens:345,Chaenotheca hispidula [LICH],0.04068679306697046,#311165
0,swissfungi:6997,Tricholoma psammopus [FUNG],0.052892830987061594,#311165
0,swissfungi:1449,Cortinarius balteatus [FUNG],0.008137358613394093,#311165
0,swissfungi:1529,Cortinarius cotoneus [FUNG],0.036618113760273414,#311165
0,nism:1896,Polytrichum nanum [BRYO],0.008137358613394093,#311165
0,swissfungi:3684,Inocybe napipes [FUNG],0.08951094474733502,#311165
0,swissfungi:6287,Russula griseascens [FUNG],0.012206037920091138,#311165
0,swissfungi:6372,Russula rhodopus [FUNG],0.036618113760273414,#311165
0,swissfungi:1577,Cortinarius evernius [FUNG],0.04068679306697046,#311165
0,swissfungi:4028,Lactarius rufus [FUNG],0.17088453088127592,#311165
0,swissfungi:13311,Rozites caperatus [FUNG],0.1830905688013671,#311165
0,swissfungi:1900,Cortinarius traganus [FUNG],0.06509886890715275,#311165
0,swissfungi:3994,Lactarius helvus [FUNG],0.052892830987061594,#311165
0,swissfungi:6278,Russula decolorans [FUNG],0.07323622752054683,#311165
0,infoflora:241900,Listera cordata [TRAC],1.232809829929205,#621980
0,swissfungi:1467,Cortinarius brunneus [FUNG],0.07323622752054683,#311165
0,swissfungi:1480,Cortinarius camphoratus [FUNG],0.06509886890715275,#311165
0,swissfungi:1664,Cortinarius limonius [FUNG],0.04882415168036455,#311165
0,swissfungi:1821,Cortinarius sanguineus [FUNG],0.17495321018797297,#311165
0,swissfungi:1883,Cortinarius subtortus [FUNG],0.09357962405403207,#311165
0,nism:1663,Lescuraea mutabilis [BRYO],0.04882415168036455,#311165
0,swissfungi:1701,Cortinarius obtusus [FUNG],0.012206037920091138,#311165
0,swissfungi:4035,Lactarius scrobiculatus [FUNG],0.5126535926438278,#311165
0,nism:129,Cololejeunea  [BRYO],0.20750264464154933,#311165
0,swissfungi:2263,Femsjonia peziziformis [FUNG],0.0610301896004557,#311165
0,swissfungi:3267,Hygrophorus olivaceoalbus [FUNG],0.06509886890715275,#311165
0,swissfungi:3827,Laccaria proxima [FUNG],0.0610301896004557,#311165
0,swissfungi:4003,Lactarius lignyotus [FUNG],0.1505411343477907,#311165
0,swissfungi:4046,Lactarius tabidus [FUNG],0.10578566197412319,#311165
0,swissfungi:6248,Russula aquosa [FUNG],0.008137358613394093,#311165
0,swissfungi:6405,Russula vinosa [FUNG],0.036618113760273414,#311165
0,swissfungi:6745,Suillus variegatus [FUNG],0.0610301896004557,#311165
0,swisslichens:972,Pachyphiale carneola [LICH],0.008137358613394093,#311165
0,vogelwarte:3120,Glaucidium passerinum [AVES],1.7291887053462445,#621980
0,swissfungi:3869,Lachnellula willkommii [FUNG],0.03254943445357637,#311165
0,swissfungi:1707,Cortinarius odorifer [FUNG],0.2359833997884287,#311165
0,swissfungi:1432,Cortinarius atrovirens [FUNG],0.07323622752054683,#311165
0,swissfungi:1485,Cortinarius caninus [FUNG],0.09357962405403207,#311165
0,swissfungi:1919,Cortinarius variecolor [FUNG],0.2766701928553991,#311165
0,swissfungi:1923,Cortinarius varius [FUNG],0.2929449100821873,#311165
0,swissfungi:6121,Ramaria largentii [FUNG],0.012206037920091138,#311165
0,swissfungi:6126,Ramaria obtusissima [FUNG],0.008137358613394093,#311165
0,swissfungi:6297,Russula firmula [FUNG],0.04068679306697046,#311165
0,swissfungi:6530,Scutiger ovinus [FUNG],0.052892830987061594,#311165
0,swissfungi:6347,Russula nauseosa [FUNG],0.11799169989421435,#311165
0,swissfungi:1559,Cortinarius dionysae [FUNG],0.024412075840182276,#311165
0,swissfungi:1590,Cortinarius fraudulosus [FUNG],0.04882415168036455,#311165
0,swissfungi:16365,Lactarius leonis [FUNG],0.012206037920091138,#311165
0,swissfungi:1739,Cortinarius percomis [FUNG],0.08137358613394093,#311165
0,swissfungi:1815,Cortinarius russeoides [FUNG],0.028480755146879325,#311165
0,swissfungi:2815,Gomphus clavatus [FUNG],0.09357962405403207,#311165
0,swissfungi:3149,Hydnellum ferrugineum [FUNG],0.036618113760273414,#311165
0,swissfungi:4017,Lactarius picinus [FUNG],0.2481894377085198,#311165
0,swissfungi:6091,Ramaria abietina [FUNG],0.03254943445357637,#311165
0,swissfungi:6128,Ramaria pallida [FUNG],0.06509886890715275,#311165
0,swissfungi:6195,Rhodocybe nitellina [FUNG],0.07730490682724388,#311165
0,swissfungi:6234,Russula adulterina [FUNG],0.04068679306697046,#311165
0,swissfungi:6532,Scutiger subrubescens [FUNG],0.10578566197412319,#311165
0,swissfungi:6962,Tricholoma aurantium [FUNG],0.06509886890715275,#311165
0,swissfungi:7367,Boletus subappendiculatus [FUNG],0.024412075840182276,#311165
