,speciesCODE,spName,Contribution,colCode
0,vogelwarte:4020,Luscinia megarhynchos [AVES],20.407608695652176,#fcfdbf
0,infofauna:31051,Aporia crataegi [LEPI],0.46875,#311165
0,infofauna:31093,Satyrium pruni [LEPI],1.1039402173913044,#621980
0,infoflora:59200,Berberis vulgaris [TRAC],1.4911684782608696,#621980
0,infoflora:433000,Ulmus minor [TRAC],0.4313858695652174,#311165
0,swissfungi:3782,Inonotus dryadeus [FUNG],0.044157608695652176,#311165
0,infoflora:244000,Lonicera periclymenum [TRAC],0.22078804347826086,#311165
0,swissfungi:25519,Melampsora euonymi-caprearum [FUNG],0.033967391304347824,#311165
0,swissfungi:8088,Uromyces pisi [FUNG],0.020380434782608696,#311165
0,infoflora:206500,Hippophaë rhamnoides [TRAC],0.25815217391304346,#311165
0,vogelwarte:4520,Hippolais polyglotta [AVES],2.0957880434782608,#912b81
0,swissfungi:2122,Dendropolyporus umbellatus [FUNG],0.057744565217391304,#311165
0,vogelwarte:5160,Lanius collurio [AVES],44.74864130434783,#fcfdbf
0,nism:1520,Homalothecium lutescens [BRYO],0.5264945652173914,#311165
0,nism:1676,Leucodon sciuroides [BRYO],0.3736413043478261,#311165
0,swissfungi:2080,Daedaleopsis confragosa [FUNG],0.49592391304347827,#311165
0,swissfungi:2710,Ganoderma lipsiense [FUNG],0.954483695652174,#311165
0,swissfungi:419,Auricularia auricula-judae [FUNG],0.41100543478260865,#311165
0,swissfungi:5779,Polyporus squamosus [FUNG],0.21739130434782608,#311165
0,infoflora:259200,Mespilus germanica [TRAC],0.6182065217391304,#311165
0,infoflora:350300,Rosa stylosa [TRAC],0.18342391304347827,#311165
0,infoflora:348600,Rosa gallica [TRAC],0.31929347826086957,#311165
0,swissfungi:6466,Schizophyllum commune [FUNG],1.1345108695652175,#621980
0,swissfungi:2303,Encoelia furfuracea [FUNG],0.15964673913043478,#311165
0,swissfungi:4022,Lactarius pyrogalus [FUNG],0.24116847826086957,#311165
0,swissfungi:4154,Leccinum aurantiacum [FUNG],0.12907608695652173,#311165
0,infoflora:350550,Rosa tomentella [TRAC],0.17323369565217392,#311165
0,swisslichens:1374,Strangospora pinicola [LICH],0.050951086956521736,#311165
0,swissfungi:5502,Phellinus igniarius [FUNG],0.07133152173913043,#311165
0,swissfungi:863,Chondrostereum purpureum [FUNG],0.3362771739130435,#311165
0,swissfungi:4021,Lactarius pubescens [FUNG],0.22418478260869565,#311165
0,swissfungi:2628,Fomes fomentarius [FUNG],0.30570652173913043,#311165
0,swissfungi:4063,Laetiporus sulphureus [FUNG],0.28532608695652173,#311165
0,swissfungi:5512,Phellinus ribis [FUNG],0.1324728260869565,#311165
0,swissfungi:5589,Pholiotina aporos [FUNG],0.12567934782608695,#311165
0,swissfungi:6870,Trametes hirsuta [FUNG],1.1447010869565217,#621980
0,swissfungi:3296,Hymenochaete tabacina [FUNG],0.08491847826086957,#311165
0,swissfungi:2602,Fistulina hepatica [FUNG],0.17323369565217392,#311165
0,vogelwarte:5580,Emberiza citrinella [AVES],0.264945652173913,#311165
0,infoflora:329900,Prunus padus [TRAC],0.078125,#311165
0,swissfungi:4037,Lactarius serifluus [FUNG],0.02717391304347826,#311165
0,swissfungi:3589,Inocybe dulcamara [FUNG],0.15964673913043478,#311165
0,swissfungi:3489,Hypoxylon fuscum [FUNG],0.45516304347826086,#311165
0,swissfungi:5501,Phellinus hippophaeicola [FUNG],0.08491847826086957,#311165
0,swissfungi:5516,Phellinus tuberculosus [FUNG],0.10190217391304347,#311165
0,swissfungi:5691,Plicatura crispa [FUNG],0.5536684782608696,#311165
0,swissfungi:7049,Trichopezizella barbata [FUNG],0.06793478260869565,#311165
0,swissfungi:8094,Vuilleminia coryli [FUNG],0.06453804347826086,#311165
0,swisslichens:982,Parmelia acetabulum [LICH],0.08491847826086957,#311165
