,speciesCODE,spName,Contribution,colCode
0,infoflora:402700,Sorbus torminalis [TRAC],0.10506485037316136,#311165
0,infoflora:101200,Centaurium erythraea [TRAC],0.14129410912252735,#311165
0,infoflora:281800,Orchis simia [TRAC],0.11502789652923702,#311165
0,infoflora:337700,Ranunculus bulbosus [TRAC],0.6738642127382074,#311165
0,infoflora:41600,Arabis sagittata [TRAC],0.008151583218607348,#311165
0,vogelwarte:3430,Leiopicus medius [AVES],3.595753930874574,#912b81
0,infofauna:22880,Cerambyx scopolii [COLE],0.09238460981088327,#311165
0,infofauna:31040,Iphiclides podalirius [LEPI],0.6774871386131439,#311165
0,infofauna:31280,Cilix glaucata [LEPI],0.0,#311165
0,infofauna:31249,Melanargia galathea [LEPI],1.4564162017245128,#621980
0,infoflora:71900,Calamintha menthifolia [TRAC],0.09419607274835157,#311165
0,infofauna:22854,Anoplodera rufipes [COLE],0.003622925874936599,#311165
0,swisslichens:1856,Arthonia dispersa [LICH],0.006340120281139048,#311165
0,infoflora:423300,Tragopogon pratensis [TRAC],0.27081370915151076,#311165
0,infofauna:21339,Anthaxia podolica [COLE],0.007245851749873198,#311165
0,infoflora:367600,Salvia pratensis [TRAC],0.7753061372364322,#311165
0,infoflora:48700,Asarum europaeum [TRAC],0.19292080284037388,#311165
0,infoflora:83100,Carex alba [TRAC],0.31338308818201577,#311165
0,swisslichens:153,Bacidia incompta [LICH],0.003622925874936599,#311165
0,infoflora:150400,Epipactis purpurata [TRAC],0.1367654517788566,#311165
0,infoflora:180400,Galium sylvaticum [TRAC],0.17480617346569088,#311165
0,infoflora:230000,Lathyrus niger [TRAC],0.04981523078037823,#311165
0,infoflora:347600,Rosa arvensis [TRAC],0.41029635533656983,#311165
0,infofauna:31161,Boloria dia [LEPI],0.22643286718353742,#311165
0,infofauna:31178,Melitaea cinxia [LEPI],0.2862111441199913,#311165
0,infoflora:398100,Sison amomum [TRAC],0.02626621259329034,#311165
0,infoflora:304000,Pimpinella saxifraga [TRAC],0.20197811752771538,#311165
0,infoflora:29600,Anacamptis pyramidalis [TRAC],0.1711832475907543,#311165
0,swissfungi:25519,Melampsora euonymi-caprearum [FUNG],0.005434388812404899,#311165
0,infoflora:181000,Galium verum [TRAC],0.21375262662125935,#311165
0,infoflora:266600,Myosotis ramosissima [TRAC],0.08695022099847838,#311165
0,infoflora:283400,Ornithogalum pyrenaicum [TRAC],0.06521266574885878,#311165
0,infoflora:206400,Hippocrepis emerus [TRAC],0.30704296790087676,#311165
0,infoflora:203400,Hieracium pilosella [TRAC],0.6847329903630172,#311165
0,infoflora:405100,Spiranthes spiralis [TRAC],0.374972828055938,#311165
0,infoflora:406600,Stachys recta [TRAC],0.08513875806101007,#311165
0,infoflora:65700,Bromus erectus [TRAC],0.5914426490833997,#311165
0,infoflora:383200,Sedum album [TRAC],0.3967103833055575,#311165
0,infoflora:276300,Ononis repens [TRAC],0.28530541265125714,#311165
0,infofauna:17720,Calliptamus italicus [ORTH],0.2825882182450547,#311165
0,infofauna:17766,Oedipoda caerulescens [ORTH],0.23639591333961307,#311165
0,infofauna:17770,Omocestus rufipes [ORTH],0.2581334685892327,#311165
0,infofauna:22930,Chlorophorus figuratus [COLE],0.031700601405695236,#311165
0,infofauna:31127,Satyrium acaciae [LEPI],0.006340120281139048,#311165
0,infofauna:31128,Satyrium ilicis [LEPI],0.02898340699949279,#311165
0,infoflora:76800,Campanula rapunculoides [TRAC],0.16031446996594448,#311165
0,infoflora:139400,Dipsacus pilosus [TRAC],0.05253242518658068,#311165
0,infoflora:214100,Inula conyzae [TRAC],0.16122020143467863,#311165
0,infofauna:17650,Decticus verrucivorus [ORTH],0.7961379610173175,#311165
0,infofauna:17661,Metrioptera bicolor [ORTH],0.6394464169263097,#311165
0,infofauna:17670,Phaneroptera falcata [ORTH],0.5588363162089703,#311165
0,infofauna:17676,Platycleis albopunctata [ORTH],0.3351206434316354,#311165
0,infofauna:17840,Mantis religiosa [ORTH],0.030794869936961088,#311165
0,infofauna:31094,Glaucopsyche alexis [LEPI],0.07245851749873199,#311165
0,infofauna:31098,Plebejus argyrognomon [LEPI],0.03532352728063184,#311165
0,infofauna:31180,Melitaea didyma [LEPI],0.21737555249619592,#311165
0,infofauna:31187,Melitaea parthenoides [LEPI],0.32334613433809145,#311165
0,infofauna:31203,Brintesia circe [LEPI],0.28892833852619376,#311165
0,infofauna:32920,Spiris striata [LEPI],0.0027171944062024493,#311165
0,infoflora:100000,Centaurea scabiosa [TRAC],0.1784290993406275,#311165
0,infoflora:135600,Dianthus carthusianorum [TRAC],0.09781899862328816,#311165
0,infoflora:136900,Dianthus sylvestris [TRAC],0.13223679443518585,#311165
0,infoflora:376000,Saxifraga tridactylites [TRAC],0.19744946018404463,#311165
0,infoflora:84900,Carex caryophyllea [TRAC],0.4510542714296065,#311165
0,swisslichens:1051,Peltigera rufescens [LICH],0.017208897905948844,#311165
0,swisslichens:387,Cladonia foliacea [LICH],0.0,#311165
0,swisslichens:390,Cladonia furcata [LICH],0.005434388812404899,#311165
0,swisslichens:412,Cladonia rangiformis [LICH],0.014491703499746395,#311165
0,infoflora:206200,Himantoglossum hircinum [TRAC],0.1313310629664517,#311165
0,infofauna:22821,Rhagium sycophanta [COLE],0.018114629374682997,#311165
0,infofauna:22857,Anoplodera sexguttata [COLE],0.05615535106151728,#311165
0,infofauna:22926,Plagionotus arcuatus [COLE],0.03804072168683428,#311165
0,infofauna:22927,Plagionotus detritus [COLE],0.004528657343670749,#311165
0,infofauna:31247,Lopinga achine [LEPI],0.6041228896456778,#311165
0,infoflora:7600,Agrimonia procera [TRAC],0.08966741540468082,#311165
0,infofauna:31004,Carterocephalus palaemon [LEPI],0.23277298746467648,#311165
0,infofauna:31126,Favonius quercus [LEPI],0.061589739873922175,#311165
0,nism:1520,Homalothecium lutescens [BRYO],0.08785595246721252,#311165
0,swissfungi:3973,Lactarius subumbonatus [FUNG],0.011774509093543946,#311165
