,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
140,505650,156350,505628,156389,18,50561563,9.0,9.916774460979116,9.916774460979116,0.8
168,507250,154350,507245,154368,18,50721543,5.0,5.449549833210033,5.449549833210033,0.4
293,518850,154750,518828,154795,18,51881547,5.0,5.449793235075814,5.449793235075814,0.4
799,543050,161050,543000,161000,18,54301610,10.0,11.207466612998289,11.207466612998289,1.0
873,545250,198750,545265,198707,18,54521987,6.0,6.455769396156045,6.455769396156045,0.4
1007,550150,132550,550156,132550,18,55011325,6.0,6.247510491317912,6.247510491317912,0.2
1009,550250,132350,550254,132350,18,55021323,6.0,6.247510491317912,6.247510491317912,0.2
1010,550350,110550,550354,110550,18,55031105,6.0,6.292436411365896,6.292436411365896,0.2
1011,550350,111150,550355,111150,18,55031111,6.0,6.292436411365896,6.292436411365896,0.2
1012,550350,132550,550351,132550,18,55031325,6.0,6.247510491317912,6.247510491317912,0.2
1013,550450,110450,550456,110450,18,55041104,6.0,6.292436411365896,6.292436411365896,0.2
1014,550450,132450,550452,132450,18,55041324,6.0,6.247510491317912,6.247510491317912,0.2
1015,550450,132550,550460,132550,18,55041325,6.0,6.247510491317912,6.247510491317912,0.2
1016,550450,132650,550454,132650,18,55041326,6.0,6.247510491317912,6.247510491317912,0.2
1020,550550,110350,550551,110350,18,55051103,6.0,6.292436411365896,6.292436411365896,0.2
1021,550550,132450,550549,132450,18,55051324,6.0,6.247510491317912,6.247510491317912,0.2
1022,550650,132450,550654,132450,18,55061324,6.0,6.247510491317912,6.247510491317912,0.2
1023,550750,111050,550754,111050,18,55071110,6.0,6.292436411365896,6.292436411365896,0.2
1025,550850,111150,550849,111150,18,55081111,6.0,6.292436411365896,6.292436411365896,0.2
1026,550950,132450,550951,132450,18,55091324,6.0,6.247510491317912,6.247510491317912,0.2
1027,550950,132550,550948,132550,18,55091325,6.0,6.247510491317912,6.247510491317912,0.2
1028,550950,132750,550952,132750,18,55091327,6.0,6.247510491317912,6.247510491317912,0.2
1029,550950,132850,550953,132850,18,55091328,6.0,6.247510491317912,6.247510491317912,0.2
1030,551050,111050,551049,111050,18,55101110,6.0,6.292436411365896,6.292436411365896,0.2
1031,551050,111150,551057,111150,18,55101111,6.0,6.292436411365896,6.292436411365896,0.2
1032,551050,111550,551048,111550,18,55101115,6.0,6.292436411365896,6.292436411365896,0.2
1036,551250,132750,551256,132750,18,55121327,6.0,6.247510491317912,6.247510491317912,0.2
1040,551450,111250,551452,111250,18,55141112,6.0,6.292436411365896,6.292436411365896,0.2
1041,551450,132450,551448,132450,18,55141324,6.0,6.247510491317912,6.247510491317912,0.2
1042,551450,132550,551450,132550,18,55141325,6.0,6.247510491317912,6.247510491317912,0.2
1044,551550,132550,551550,132550,18,55151325,6.0,6.247510491317912,6.247510491317912,0.2
1046,551650,111250,551647,111250,18,55161112,6.0,6.292436411365896,6.292436411365896,0.2
1047,551650,132750,551648,132750,18,55161327,6.0,6.247510491317912,6.247510491317912,0.2
1048,551750,111250,551751,111250,18,55171112,6.0,6.292436411365896,6.292436411365896,0.2
1051,551850,113150,551854,113150,18,55181131,6.0,6.292436411365896,6.292436411365896,0.2
1055,552050,111350,552048,111350,18,55201113,6.0,6.292436411365896,6.292436411365896,0.2
1057,552050,130850,552052,130850,18,55201308,6.0,6.294307542958059,6.294307542958059,0.2
1125,552150,111450,552145,111450,18,55211114,6.0,6.292436411365896,6.292436411365896,0.2
1128,552350,113350,552351,113350,18,55231133,6.0,6.292436411365896,6.292436411365896,0.2
1312,552650,111550,552650,111550,18,55261115,6.0,6.292436411365896,6.292436411365896,0.2
1399,552950,113050,552955,113050,18,55291130,6.0,6.292436411365896,6.292436411365896,0.2
1410,553150,111050,553152,111050,18,55311110,6.0,6.292436411365896,6.292436411365896,0.2
1411,553150,111550,553157,111550,18,55311115,6.0,6.292436411365896,6.292436411365896,0.2
1412,553150,132350,553149,132350,18,55311323,6.0,6.247510491317912,6.247510491317912,0.2
1415,553350,132850,553398,132863,18,55331328,6.0,6.495020982635824,6.495020982635824,0.4
1423,553350,134250,553353,134250,18,55331342,6.0,6.247510491317912,6.247510491317912,0.2
1424,553450,110650,553454,110650,18,55341106,6.0,6.292436411365896,6.292436411365896,0.2
1428,553450,134950,553446,134950,18,55341349,6.0,6.269446914766485,6.269446914766485,0.2
1432,553550,132250,553552,132250,18,55351322,6.0,6.294307542958059,6.294307542958059,0.2
1433,553550,133950,553552,133950,18,55351339,6.0,6.247510491317912,6.247510491317912,0.2
1443,553650,132250,553657,132250,18,55361322,6.0,6.294307542958059,6.294307542958059,0.2
