,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
1,485750,110150,485737,110112,15,48571101,9.0,9.413613460437373,9.413613460437373,1.2
9,486150,110250,486132,110291,15,48611102,4.0,4.206806730218687,4.206806730218687,0.2
13,486350,110750,486351,110720,15,48631107,4.0,4.413613460437374,4.413613460437374,0.4
19,486350,117250,486310,117230,15,48631172,11.0,11.543727777810707,3.8479092592702355,1.4
40,486450,112150,486457,112121,15,48641121,4.0,4.206806730218687,4.206806730218687,0.2
41,486450,117250,486410,117260,15,48641172,11.0,11.724970370414278,3.908323456804759,0.8
46,486550,110150,486585,110133,15,48651101,8.0,8.413613460437373,4.206806730218687,1.2
57,486550,111250,486514,111202,15,48651112,8.0,8.908534350462746,4.454267175231373,0.8
61,486550,111550,486500,111500,15,48651115,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
68,486550,117550,486500,117500,15,48651175,4.0,4.362485185207139,4.362485185207139,0.4
70,486650,110150,486661,110136,15,48661101,15.0,16.034033651093434,8.017016825546717,1.7999999999999998
79,486650,110750,486613,110729,15,48661107,6.0,6.227133587615686,6.227133587615686,1.0
87,486650,112350,486674,112340,15,48661123,4.0,4.413613460437374,4.413613460437374,0.4
90,486650,117450,486670,117490,15,48661174,8.0,8.362485185207138,4.181242592603569,1.2
95,486750,110350,486739,110324,15,48671103,11.0,11.620420190656061,3.8734733968853536,1.4
98,486750,110950,486717,110936,15,48671109,6.0,6.227133587615686,6.227133587615686,1.0
99,486750,111050,486787,111083,15,48671110,4.0,4.454267175231373,4.454267175231373,0.4
102,486750,111150,486700,111100,15,48671111,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
105,486750,111250,486730,111210,15,48671112,11.0,11.681400762847058,5.840700381423529,1.4
111,486850,110150,486812,110148,15,48681101,9.0,9.413613460437373,4.706806730218687,1.2
119,486850,111050,486850,111095,15,48681110,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
128,486850,112250,486803,112207,15,48681122,6.0,6.206806730218687,6.206806730218687,1.0
132,486850,112650,486858,112643,15,48681126,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
159,486950,110850,486998,110848,15,48691108,16.0,17.36280152569412,5.787600508564707,2.0
170,486950,111050,486992,111034,15,48691110,23.0,25.49846946377255,12.749234731886276,2.1999999999999997
187,486950,111150,486975,111135,15,48691111,8.0,8.454267175231372,4.227133587615686,1.2
189,486950,112850,486910,112834,15,48691128,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
199,486950,112950,486960,112932,15,48691129,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
210,486950,117950,486988,117975,15,48691179,6.0,6.181242592603569,6.181242592603569,1.0
211,487050,110250,487090,110200,15,48701102,8.0,8.454267175231372,4.227133587615686,1.2
213,487050,110350,487070,110314,15,48701103,6.0,6.68140076284706,3.34070038142353,0.6000000000000001
216,487050,110550,487015,110500,15,48701105,20.0,21.81706870092549,7.27235623364183,2.4
235,487050,110750,487071,110794,15,48701107,6.0,6.227133587615686,6.227133587615686,1.0
236,487050,110850,487080,110835,15,48701108,8.0,8.454267175231372,8.454267175231372,1.2
239,487050,111050,487034,111033,15,48701110,10.0,10.681400762847058,3.5604669209490196,1.4
243,487050,111150,487005,111120,15,48701111,14.0,15.13566793807843,3.7839169845196077,1.7999999999999998
249,487050,112950,487054,112952,15,48701129,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
252,487050,113050,487095,113045,15,48701130,10.0,11.034033651093436,5.517016825546718,1.0
263,487150,110650,487100,110600,15,48711106,6.0,6.68140076284706,3.34070038142353,0.6000000000000001
269,487150,110850,487190,110850,15,48711108,8.0,8.454267175231372,8.454267175231372,1.2
277,487150,111050,487168,111031,15,48711110,27.0,28.362801525694117,14.181400762847058,3.6000000000000005
296,487150,111150,487100,111100,15,48711111,15.0,16.13566793807843,5.378555979359477,1.7999999999999998
309,487150,113050,487197,113083,15,48711130,4.0,4.413613460437374,4.413613460437374,0.4
311,487150,113150,487179,113180,15,48711131,8.0,8.413613460437373,4.206806730218687,1.2
314,487150,113450,487190,113405,15,48711134,4.0,4.413613460437374,4.413613460437374,0.4
319,487150,117750,487165,117700,15,48711177,6.0,6.181242592603569,6.181242592603569,1.0
320,487250,110650,487200,110630,15,48721106,13.0,13.681400762847058,6.840700381423529,1.4
323,487250,110750,487225,110730,15,48721107,17.0,18.36280152569412,6.12093384189804,2.0
335,487250,110850,487295,110860,15,48721108,27.0,29.044202288541175,14.522101144270588,3.4000000000000004
