"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
120,494750,141550,494724,141536,19,49471415,4,4.61598599173163,4.61598599173163,0.4,"Wertvoll"
123,494750,141750,494732,141793,19,49471417,6,6.92397898759745,6.92397898759745,0.6,"Sehr wertvoll"
145,495850,143550,495849,143545,19,49581435,4,4.30799299586582,4.30799299586582,0.2,"Wertvoll"
148,496250,142450,496248,142447,19,49621424,18,18.9239789875975,18.9239789875975,1.4,"Sehr wertvoll"
168,496550,144850,496557,144844,19,49651448,7,7.6548006875706,7.6548006875706,0.6,"Sehr wertvoll"
171,496550,144950,496500,144900,19,49651449,6,6.6548006875706,6.6548006875706,0.6,"Sehr wertvoll"
175,496650,144750,496697,144743,19,49661447,9,9.87306758342747,9.87306758342747,0.8,"Sehr wertvoll"
182,496750,144850,496777,144821,19,49671448,31,34.274003437853,17.1370017189265,3,"Sehr wertvoll"
218,496950,144950,496950,144900,19,49691449,4,4.43653379171373,4.43653379171373,0.4,"Wertvoll"
228,497150,144750,497100,144700,19,49711447,4,4.43653379171373,4.43653379171373,0.4,"Wertvoll"
280,498050,142050,498053,142049,19,49801420,6,6.19670131516876,6.19670131516876,0.2,"Wertvoll"
281,498050,145050,498075,145000,19,49801450,14,15.5278682709981,15.5278682709981,1.4,"Sehr wertvoll"
290,498050,145750,498078,145745,19,49801457,38,42.1470710212805,42.1470710212805,3.8,"Sehr wertvoll"
329,498050,145850,498072,145849,19,49801458,12,13.3096013751412,13.3096013751412,1.2,"Sehr wertvoll"
399,498050,146150,498081,146140,19,49801461,8,8.87306758342747,8.87306758342747,0.8,"Sehr wertvoll"
408,498150,145850,498159,145879,19,49811458,4,4.43653379171373,4.43653379171373,0.4,"Wertvoll"
410,498150,145950,498132,145955,19,49811459,10,11.0913344792843,11.0913344792843,1,"Sehr wertvoll"
493,498350,146350,498300,146300,19,49831463,58,63.6749392922785,63.6749392922785,5.2,"Sehr wertvoll"
607,498450,146650,498450,146600,19,49841466,25,27.6192027502824,27.6192027502824,2.4,"Sehr wertvoll"
631,498550,146550,498500,146500,19,49851465,50,55.2384055005648,55.2384055005648,4.8,"Sehr wertvoll"
