,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
9,486450,111750,486400,111700,22,48641117,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
18,486550,111550,486500,111500,22,48651115,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
34,486750,111150,486700,111100,22,48671111,12.0,13.362801525694119,13.362801525694119,1.2
44,486850,110250,486800,110200,22,48681102,10.0,11.135667938078432,11.135667938078432,1.0
58,486950,111050,486900,111050,22,48691110,20.0,22.271335876156865,22.271335876156865,1.9999999999999998
83,487050,111050,487075,111042,22,48701110,13.0,14.13566793807843,7.067833969039215,1.0
90,487150,111150,487150,111150,22,48711111,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
93,487250,111050,487250,111050,22,48721110,14.0,15.589935113309805,15.589935113309805,1.4
101,487250,111550,487250,111500,22,48721115,14.0,15.589935113309805,15.589935113309805,1.4
125,487450,111250,487400,111250,22,48741112,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
128,487550,111350,487594,111326,22,48751113,13.0,14.362801525694119,7.181400762847059,1.2
138,488050,118050,488000,118000,22,48801180,6.0,6.362485185207139,6.362485185207139,0.4
144,488450,118250,488470,118240,22,48841182,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
159,488550,118150,488500,118120,22,48851181,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
175,488750,111350,488700,111300,22,48871113,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
184,488950,111250,488900,111200,22,48891112,8.0,8.908534350462746,8.908534350462746,0.8
196,489150,111150,489100,111100,22,48911111,12.0,13.362801525694119,13.362801525694119,1.2
203,489150,111250,489100,111200,22,48911112,10.0,11.135667938078432,11.135667938078432,1.0
209,489150,115250,489175,115278,22,48911152,8.0,8.413613460437373,8.413613460437373,0.4
215,489250,115350,489205,115387,22,48921153,8.0,8.413613460437373,8.413613460437373,0.4
219,489350,111250,489300,111200,22,48931112,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
250,490650,115250,490670,115235,22,49061152,12.0,13.201639839336414,13.201639839336414,1.2
272,490850,115450,490847,115402,22,49081154,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
302,492950,118550,492900,118500,22,49291185,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
317,493150,118750,493158,118702,22,49311187,7.0,7.600819919668208,7.600819919668208,0.6000000000000001
320,493150,118850,493100,118800,22,49311188,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
323,493150,118950,493100,118900,22,49311189,8.0,8.801093226224276,8.801093226224276,0.8
327,493250,118050,493218,118079,22,49321180,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
333,493250,118350,493200,118300,22,49321183,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
340,493250,120150,493200,120150,22,49321201,10.0,11.001366532780345,11.001366532780345,1.0
354,493450,113250,493469,113203,22,49341132,7.0,7.4788959667009784,7.4788959667009784,0.4
356,493550,113350,493550,113300,22,49351133,7.0,7.4788959667009784,7.4788959667009784,0.4
369,493850,113550,493811,113563,22,49381135,7.0,7.4788959667009784,7.4788959667009784,0.4
372,494050,113750,494014,113750,22,49401137,8.0,8.478895966700978,8.478895966700978,0.4
386,494350,116350,494311,116361,22,49431163,9.0,9.200273306556069,9.200273306556069,1.0
408,496150,118850,496150,118800,22,49611188,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
413,496350,118750,496320,118720,22,49631187,10.0,10.977760833398364,10.977760833398364,1.0
421,496350,118950,496300,118900,22,49631189,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
432,496450,118850,496400,118820,22,49641188,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
442,496550,118450,496550,118400,22,49651184,8.0,8.58665650003902,8.58665650003902,0.6000000000000001
457,497250,112950,497205,112974,22,49721129,18.0,19.676135883453426,9.838067941726713,1.4
471,497550,145550,497500,145500,22,49751455,12.0,13.309601375141202,13.309601375141202,1.2
482,497750,117250,497700,117200,22,49771172,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
488,497950,112950,497950,112900,22,49791129,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
494,498050,117350,498000,117300,22,49801173,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
499,498050,145050,498075,145000,22,49801450,6.0,6.6548006875706,6.6548006875706,0.6000000000000001
503,498050,145750,498030,145737,22,49801457,6.0,6.6548006875706,6.6548006875706,0.6000000000000001
519,498050,146050,498063,146000,22,49801460,6.0,6.6548006875706,6.6548006875706,0.6000000000000001
528,498150,146050,498100,146000,22,49811460,8.0,8.873067583427467,8.873067583427467,0.8
539,498250,118750,498200,118700,22,49821187,10.0,10.977760833398364,10.977760833398364,1.0
547,498350,113950,498300,113900,22,49831139,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
554,498350,146350,498300,146300,22,49831463,14.0,15.52786827099807,15.52786827099807,1.4
571,498350,146550,498300,146500,22,49831465,8.0,8.873067583427467,8.873067583427467,0.8
592,498550,127350,498550,127340,22,49851273,10.0,11.03644094866436,11.03644094866436,1.0
597,498550,146550,498500,146500,22,49851465,12.0,13.309601375141202,13.309601375141202,1.2
605,498650,117650,498600,117650,22,49861176,6.0,6.586656500039019,6.586656500039019,0.6000000000000001
611,498650,125250,498651,125224,22,49861252,8.0,8.48520496753433,8.48520496753433,0.4
624,498750,120150,498774,120170,22,49871201,8.0,8.391104333359346,8.391104333359346,0.4
635,498850,122650,498880,122600,22,49881226,6.0,6.7278074513014925,6.7278074513014925,0.6000000000000001
645,499050,128050,499066,128087,22,49901280,6.0,6.621864569198617,6.621864569198617,0.6000000000000001
684,499650,120150,499620,120125,22,49961201,8.0,8.970409935068657,8.970409935068657,0.8
691,499650,123550,499678,123503,22,49961235,6.0,6.7278074513014925,6.7278074513014925,0.6000000000000001
703,499850,127850,499850,127800,22,49981278,16.0,17.658305517862974,17.658305517862974,1.5999999999999999
711,499850,138850,499800,138800,22,49981388,6.0,6.590103945506268,6.590103945506268,0.6000000000000001
727,500050,125350,500083,125308,22,50001253,7.0,7.621864569198617,7.621864569198617,0.6000000000000001
768,500350,120350,500300,120300,22,50031203,8.0,8.970409935068657,8.970409935068657,0.8
785,500450,120550,500400,120500,22,50041205,8.0,8.970409935068657,8.970409935068657,0.8
793,500450,124450,500484,124487,22,50041244,13.0,14.455614902602987,14.455614902602987,1.2
818,500650,117350,500608,117346,22,50061173,8.0,8.391104333359346,8.391104333359346,0.4
822,500650,119450,500670,119450,22,50061194,6.0,6.7278074513014925,6.7278074513014925,0.6000000000000001
825,500650,119850,500638,119817,22,50061198,14.0,14.727807451301494,7.363903725650747,1.4
844,500750,127350,500750,127375,22,50071273,6.0,6.590103945506268,6.590103945506268,0.6000000000000001
854,500850,127250,500875,127200,22,50081272,11.0,11.98350657584378,11.98350657584378,1.0
859,500850,127350,500800,127350,22,50081273,8.0,8.786805260675024,8.786805260675024,0.8
865,500850,133350,500830,133324,22,50081333,6.0,6.621864569198617,6.621864569198617,0.6000000000000001
873,500950,133450,500926,133421,22,50091334,8.0,8.829152758931489,8.829152758931489,0.8
886,501050,127950,501000,127900,22,50101279,12.0,13.180207891012536,13.180207891012536,1.2
896,501250,115950,501200,115900,22,50121159,6.0,6.9906930459018515,6.9906930459018515,0.6000000000000001
909,501550,117450,501554,117424,22,50151174,8.0,8.496830244982755,8.496830244982755,0.4
912,501550,125050,501581,125076,22,50151250,6.0,6.7278074513014925,6.7278074513014925,0.6000000000000001
916,501550,126850,501517,126889,22,50151268,6.0,6.590103945506268,6.590103945506268,0.6000000000000001
924,501550,154950,501500,154900,22,50151549,8.0,9.02724417632572,9.02724417632572,0.8
939,501850,156450,501800,156400,22,50181564,8.0,9.02724417632572,9.02724417632572,0.8
953,502150,118250,502100,118200,22,50211182,8.0,8.993660489965508,8.993660489965508,0.8
998,503350,134850,503350,134850,22,50331348,38.0,41.73732498820635,41.73732498820635,3.800000000000001
1062,504050,149050,504000,149000,22,50401490,8.0,8.940342743762226,8.940342743762226,0.8
1075,504150,142350,504148,142343,22,50411423,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1092,504550,119550,504500,119500,22,50451195,6.0,6.6606099670513,6.6606099670513,0.6000000000000001
1107,505050,152050,505000,152000,22,50501520,10.0,11.175428429702784,11.175428429702784,1.0
1140,506350,120650,506300,120600,22,50631206,14.0,15.541423256453037,15.541423256453037,1.4
1151,506450,120650,506400,120600,22,50641206,20.0,22.202033223504333,22.202033223504333,1.9999999999999998
1178,506650,125550,506610,125550,22,50661255,8.0,8.993660489965508,8.993660489965508,0.8
1195,506750,125950,506730,125940,22,50671259,22.0,24.732566347405147,24.732566347405147,2.1999999999999997
1232,507050,143250,507019,143295,22,50701432,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1239,507050,144150,507095,144183,22,50701441,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1252,507150,143750,507198,143714,22,50711437,8.0,8.977318799102738,8.977318799102738,0.8
1257,507150,144150,507102,144154,22,50711441,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1260,507150,144250,507146,144216,22,50711442,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1296,507250,152750,507200,152700,22,50721527,8.0,8.940342743762226,8.940342743762226,0.8
1305,507350,142850,507335,142835,22,50731428,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1311,507350,142950,507322,142939,22,50731429,8.0,8.977318799102738,8.977318799102738,0.8
1328,507450,142650,507446,142668,22,50741426,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1334,507450,142950,507411,142942,22,50741429,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1350,507550,142750,507500,142700,22,50751427,20.0,22.443296997756843,22.443296997756843,1.9999999999999998
1377,507550,143450,507597,143469,22,50751434,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1392,507550,155150,507500,155100,22,50751551,6.0,6.6743247498150495,6.6743247498150495,0.6000000000000001
1399,507650,142750,507600,142700,22,50761427,16.0,17.954637598205476,17.954637598205476,1.5999999999999999
1416,507650,142950,507602,142922,22,50761429,10.0,11.221648498878423,11.221648498878423,1.0
1424,507650,143050,507688,143021,22,50761430,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1437,507650,158050,507611,158024,22,50761580,6.0,6.687580845734337,6.687580845734337,0.6000000000000001
1448,507750,142950,507700,142963,22,50771429,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1461,507750,143550,507724,143552,22,50771435,8.0,8.977318799102738,8.977318799102738,0.8
1472,507850,142950,507854,142945,22,50781429,8.0,8.977318799102738,8.977318799102738,0.8
1479,507850,143250,507819,143249,22,50781432,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1485,507850,144050,507816,144015,22,50781440,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1492,507850,152650,507800,152600,22,50781526,14.0,15.885735300126669,15.885735300126669,1.4
1502,507850,155850,507800,155800,22,50781558,6.0,6.6743247498150495,6.6743247498150495,0.6000000000000001
1507,507850,162550,507807,162506,22,50781625,8.0,8.916774460979116,8.916774460979116,0.8
1512,507950,142950,507913,142991,22,50791429,16.0,17.954637598205476,17.954637598205476,1.5999999999999999
1520,507950,143050,507971,143046,22,50791430,10.0,11.221648498878423,11.221648498878423,1.0
1533,507950,143550,507963,143569,22,50791435,13.0,14.465978198654108,14.465978198654108,1.2
1539,507950,152250,507900,152200,22,50791522,10.0,11.346953785804764,11.346953785804764,1.0
1545,507950,152950,507900,152900,22,50791529,14.0,15.885735300126669,15.885735300126669,1.4
1557,508050,150850,508070,150800,22,50801508,6.0,6.70525705782167,6.70525705782167,0.6000000000000001
1564,508050,166050,508000,166000,22,50801660,6.0,6.62605449471428,6.62605449471428,0.6000000000000001
1575,508250,159250,508200,159200,22,50821592,6.0,6.687580845734337,6.687580845734337,0.6000000000000001
1598,508550,156750,508502,156770,22,50851567,6.0,6.6743247498150495,6.6743247498150495,0.6000000000000001
1604,508650,150550,508600,150500,22,50861505,12.0,13.410514115643341,13.410514115643341,1.2
1623,508750,150850,508700,150800,22,50871508,18.0,20.115771173465014,20.115771173465014,1.7999999999999998
1650,509050,150850,509000,150800,22,50901508,12.0,13.616344542965717,13.616344542965717,1.2
1664,509150,139150,509100,139100,22,50911391,33.0,36.147221042700096,36.147221042700096,3.2000000000000006
1712,509750,150350,509700,150300,22,50971503,8.0,9.077563028643812,9.077563028643812,0.8
1719,509850,141450,509865,141462,22,50981414,8.0,8.931405573212237,8.931405573212237,0.8
1742,510150,148250,510104,148262,22,51011482,6.0,6.808172271482859,6.808172271482859,0.6000000000000001
1745,510250,139650,510203,139636,22,51021396,6.0,6.732989099327053,6.732989099327053,0.6000000000000001
1750,510250,148250,510239,148217,22,51021482,16.0,18.15512605728762,18.15512605728762,1.5999999999999999
1775,510450,151450,510400,151400,22,51041514,14.0,15.885735300126669,15.885735300126669,1.4
1792,510550,151450,510500,151400,22,51051514,12.0,13.616344542965717,13.616344542965717,1.2
1803,510550,151550,510500,151500,22,51051515,6.0,6.808172271482859,6.808172271482859,0.6000000000000001
