"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
28,486350,110450,486387,110408,2,48631104,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
29,486350,110550,486381,110524,2,48631105,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
30,486350,110650,486335,110643,2,48631106,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
62,486350,117350,486335,117315,2,48631173,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
67,486450,110150,486450,110100,2,48641101,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
70,486450,110350,486427,110367,2,48641103,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
76,486450,111350,486485,111332,2,48641113,4,4.45426717523137,4.45426717523137,0.4,"Wertvoll"
80,486450,117250,486498,117228,2,48641172,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
81,486550,110150,486515,110158,2,48651101,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
84,486550,110250,486516,110225,2,48651102,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
85,486550,110350,486511,110398,2,48651103,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
87,486550,110450,486531,110462,2,48651104,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
94,486550,111350,486577,111306,2,48651113,6,6.68140076284706,6.68140076284706,0.6,"Sehr wertvoll"
99,486550,111550,486500,111500,2,48651115,14,14.6814007628471,14.6814007628471,1.4,"Sehr wertvoll"
111,486650,111150,486600,111100,2,48661111,19,19.9085343504627,9.95426717523137,2.4,"Sehr wertvoll"
121,486650,111250,486666,111218,2,48661112,7,7.22713358761569,7.22713358761569,1,"Sehr wertvoll"
127,486750,111050,486779,111080,2,48671110,10,10.4542671752314,5.22713358761569,1.2,"Sehr wertvoll"
129,486750,111150,486715,111119,2,48671111,11,11.6814007628471,5.84070038142353,1.4,"Sehr wertvoll"
132,486750,117550,486761,117526,2,48671175,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
140,486750,118250,486737,118204,2,48671182,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
141,486850,111050,486878,111016,2,48681110,30,31.8170687009255,10.6056895669752,3.2,"Sehr wertvoll"
152,486850,111150,486861,111108,2,48681111,14,14.9085343504627,7.45426717523137,1.6,"Sehr wertvoll"
160,486850,118150,486800,118111,2,48681181,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
169,486950,111150,486915,111120,2,48691111,19,19.9085343504627,6.63617811682091,2.4,"Sehr wertvoll"
182,487050,111050,487015,111022,2,48701110,15,15.9085343504627,3.97713358761569,1.6,"Wertvoll"
194,487050,111150,487065,111113,2,48701111,21,22.1356679380784,11.0678339690392,2.6,"Sehr wertvoll"
204,487150,111050,487116,111095,2,48711110,17,18.1356679380784,4.53391698451961,1.8,"Sehr wertvoll"
212,487150,111150,487178,111132,2,48711111,23,24.3628015256941,8.12093384189804,2.8,"Sehr wertvoll"
269,487150,111250,487197,111208,2,48711112,8,8.22713358761569,8.22713358761569,1,"Sehr wertvoll"
272,487150,117250,487130,117297,2,48711172,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
273,487150,117350,487189,117382,2,48711173,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
274,487150,117450,487150,117400,2,48711174,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
277,487150,117850,487121,117891,2,48711178,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
279,487150,118450,487111,118491,2,48711184,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
281,487250,110850,487287,110838,2,48721108,9,9.45426717523137,4.72713358761569,1.2,"Sehr wertvoll"
284,487250,111050,487258,111028,2,48721110,8,8.22713358761569,8.22713358761569,1,"Sehr wertvoll"
285,487250,111150,487283,111125,2,48721111,14,14.9085343504627,7.45426717523137,1.6,"Sehr wertvoll"
298,487250,111250,487291,111212,2,48721112,12,12.6814007628471,4.22713358761569,1.4,"Wertvoll"
314,487250,117350,487200,117375,2,48721173,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
315,487250,117450,487268,117439,2,48721174,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
320,487250,117850,487294,117874,2,48721178,3,3.18124259260357,3.18124259260357,0.2,"Wertvoll"
326,487350,110850,487336,110829,2,48731108,7,7.22713358761569,7.22713358761569,1,"Sehr wertvoll"
331,487350,111050,487377,111074,2,48731110,15,15.9085343504627,5.30284478348758,1.6,"Sehr wertvoll"
345,487350,111150,487339,111145,2,48731111,21,22.1356679380784,11.0678339690392,2.6,"Sehr wertvoll"
356,487350,117550,487348,117527,2,48731175,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
358,487350,117850,487321,117867,2,48731178,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
359,487350,118450,487324,118478,2,48731184,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
365,487450,111050,487425,111090,2,48741110,24,25.3628015256941,8.45426717523137,2.8,"Sehr wertvoll"
376,487450,111150,487416,111177,2,48741111,12,12.6814007628471,4.22713358761569,1.4,"Wertvoll"
388,487450,117550,487417,117557,2,48741175,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
389,487450,117650,487441,117617,2,48741176,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
392,487450,117750,487487,117709,2,48741177,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
393,487450,117850,487459,117886,2,48741178,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
398,487450,118250,487471,118297,2,48741182,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
399,487450,118450,487498,118462,2,48741184,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
411,487550,117650,487549,117682,2,48751176,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
431,487650,117650,487669,117630,2,48761176,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
447,487750,116950,487753,116956,2,48771169,4,4.41361346043737,4.41361346043737,0.4,"Wertvoll"
449,487750,119150,487763,119161,2,48771191,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
458,487850,117050,487857,117017,2,48781170,9,9.41361346043737,4.70680673021869,1.2,"Sehr wertvoll"
477,487950,117050,487944,117012,2,48791170,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
479,487950,117750,487932,117771,2,48791177,8,8.54372777781071,4.27186388890535,0.6,"Wertvoll"
487,488050,117050,488010,117050,2,48801170,9,9.41361346043737,4.70680673021869,1.2,"Sehr wertvoll"
499,488150,111450,488156,111460,2,48811114,7,7.22713358761569,7.22713358761569,1,"Sehr wertvoll"
502,488150,117050,488135,117068,2,48811170,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
506,488150,118350,488107,118322,2,48811183,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
507,488250,111450,488250,111400,2,48821114,7,7.68140076284706,3.84070038142353,0.6,"Wertvoll"
524,488250,116850,488271,116878,2,48821168,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
526,488250,116950,488258,116912,2,48821169,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
544,488350,111550,488386,111555,2,48831115,4,4.45426717523137,4.45426717523137,0.4,"Wertvoll"
552,488350,116450,488396,116493,2,48831164,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
553,488350,116550,488315,116542,2,48831165,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
554,488350,116850,488337,116894,2,48831168,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
555,488350,116950,488306,116905,2,48831169,7,7.20680673021869,7.20680673021869,1,"Sehr wertvoll"
564,488350,118450,488384,118402,2,48831184,21,21.7249703704143,5.43124259260357,2.4,"Sehr wertvoll"
571,488350,119150,488313,119138,2,48831191,7,7.18124259260357,7.18124259260357,1,"Sehr wertvoll"
