,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
7,486450,110350,486454,110348,11,48641103,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
10,486450,111250,486493,111206,11,48641112,5.0,5.227133587615686,5.227133587615686,0.2
18,486650,112150,486650,112150,11,48661121,6.0,6.206806730218687,6.206806730218687,0.2
22,486750,112150,486750,112150,11,48671121,6.0,6.206806730218687,6.206806730218687,0.2
34,487150,110650,487100,110600,11,48711106,5.0,5.227133587615686,5.227133587615686,0.2
59,487350,116850,487350,116850,11,48731168,6.0,6.206806730218687,6.206806730218687,0.2
60,487450,116950,487450,116950,11,48741169,6.0,6.206806730218687,6.206806730218687,0.2
61,487450,117050,487450,117050,11,48741170,6.0,6.206806730218687,6.206806730218687,0.2
63,487550,112950,487550,112950,11,48751129,6.0,6.206806730218687,6.206806730218687,0.2
64,487550,113750,487550,113750,11,48751137,6.0,6.206806730218687,6.206806730218687,0.2
65,487550,113850,487550,113850,11,48751138,6.0,6.206806730218687,6.206806730218687,0.2
66,487550,114050,487550,114050,11,48751140,6.0,6.206806730218687,6.206806730218687,0.2
67,487550,117050,487550,117050,11,48751170,6.0,6.206806730218687,6.206806730218687,0.2
69,487650,111450,487650,111450,11,48761114,6.0,6.227133587615686,6.227133587615686,0.2
70,487650,111550,487650,111550,11,48761115,6.0,6.227133587615686,6.227133587615686,0.2
71,487650,112150,487650,112150,11,48761121,6.0,6.227133587615686,6.227133587615686,0.2
72,487650,112650,487650,112650,11,48761126,6.0,6.206806730218687,6.206806730218687,0.2
73,487650,112850,487650,112850,11,48761128,12.0,12.413613460437373,12.413613460437373,0.4
75,487650,113950,487650,113950,11,48761139,6.0,6.206806730218687,6.206806730218687,0.2
76,487650,114050,487650,114050,11,48761140,6.0,6.206806730218687,6.206806730218687,0.2
79,487750,111350,487750,111350,11,48771113,6.0,6.227133587615686,6.227133587615686,0.2
80,487750,111650,487750,111650,11,48771116,6.0,6.227133587615686,6.227133587615686,0.2
81,487750,111850,487750,111850,11,48771118,6.0,6.227133587615686,6.227133587615686,0.2
82,487750,111950,487750,111950,11,48771119,6.0,6.227133587615686,6.227133587615686,0.2
83,487750,112150,487750,112150,11,48771121,6.0,6.227133587615686,6.227133587615686,0.2
84,487750,112350,487750,112350,11,48771123,6.0,6.227133587615686,6.227133587615686,0.2
85,487750,112950,487750,112950,11,48771129,6.0,6.206806730218687,6.206806730218687,0.2
86,487750,113450,487750,113450,11,48771134,6.0,6.206806730218687,6.206806730218687,0.2
87,487750,119150,487750,119150,11,48771191,6.0,6.181242592603569,6.181242592603569,0.2
88,487850,111350,487805,111380,11,48781113,7.0,7.227133587615686,7.227133587615686,1.0
89,487850,111450,487850,111450,11,48781114,6.0,6.227133587615686,6.227133587615686,0.2
90,487850,111550,487850,111550,11,48781115,6.0,6.227133587615686,6.227133587615686,0.2
91,487850,111850,487850,111850,11,48781118,6.0,6.227133587615686,6.227133587615686,0.2
92,487850,113050,487850,113050,11,48781130,6.0,6.206806730218687,6.206806730218687,0.2
93,487850,119150,487850,119150,11,48781191,6.0,6.181242592603569,6.181242592603569,0.2
95,487950,112250,487950,112250,11,48791122,6.0,6.227133587615686,6.227133587615686,0.2
101,487950,118050,487950,118050,11,48791180,12.0,12.362485185207138,12.362485185207138,0.4
103,488050,111950,488050,111950,11,48801119,6.0,6.227133587615686,6.227133587615686,0.2
104,488050,112250,488050,112250,11,48801122,6.0,6.206806730218687,6.206806730218687,0.2
107,488050,118050,488000,118000,11,48801180,14.0,14.724970370414278,7.362485185207139,0.8
111,488150,111450,488150,111450,11,48811114,6.0,6.227133587615686,6.227133587615686,0.2
112,488150,111550,488150,111550,11,48811115,6.0,6.227133587615686,6.227133587615686,0.2
113,488150,111750,488150,111750,11,48811117,6.0,6.227133587615686,6.227133587615686,0.2
114,488150,112050,488150,112050,11,48811120,6.0,6.227133587615686,6.227133587615686,0.2
115,488150,113750,488150,113750,11,48811137,10.0,10.206806730218688,10.206806730218688,1.0
117,488250,111450,488250,111450,11,48821114,6.0,6.227133587615686,6.227133587615686,0.2
