,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
0,485650,110150,485622,110129,8,48561101,4.0,4.413613460437374,4.413613460437374,0.4
4,485850,110150,485850,110150,8,48581101,5.0,5.206806730218687,5.206806730218687,0.2
6,485850,110350,485873,110322,8,48581103,6.0,6.413613460437373,3.2068067302186867,0.4
10,485950,110350,485992,110374,8,48591103,12.0,12.827226920874747,4.275742306958249,0.8
14,486050,110150,486039,110182,8,48601101,4.0,4.413613460437374,4.413613460437374,0.4
23,486250,117350,486299,117350,8,48621173,3.0,3.1812425926035695,3.1812425926035695,0.2
30,486350,111150,486351,111175,8,48631111,4.0,4.413613460437374,4.413613460437374,0.4
37,486350,117350,486370,117395,8,48631173,3.0,3.1812425926035695,3.1812425926035695,0.2
42,486450,110450,486434,110461,8,48641104,4.0,4.413613460437374,4.413613460437374,0.4
48,486450,111550,486400,111500,8,48641115,4.0,4.454267175231373,4.454267175231373,0.4
51,486450,111750,486400,111700,8,48641117,4.0,4.413613460437374,4.413613460437374,0.4
55,486450,112150,486469,112163,8,48641121,4.0,4.413613460437374,4.413613460437374,0.4
57,486450,117250,486450,117240,8,48641172,3.0,3.1812425926035695,3.1812425926035695,0.2
64,486550,111250,486586,111274,8,48651112,10.0,11.135667938078432,3.711889312692811,1.0
70,486550,111550,486500,111500,8,48651115,8.0,8.227133587615686,8.227133587615686,1.0
78,486650,111050,486650,111050,8,48661110,5.0,5.227133587615686,5.227133587615686,0.2
79,486650,111150,486673,111114,8,48661111,18.0,19.13566793807843,3.8271335876156862,1.7999999999999998
86,486650,111250,486600,111200,8,48661112,10.0,11.135667938078432,11.135667938078432,1.0
96,486650,111350,486600,111300,8,48661113,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
102,486650,117550,486621,117537,8,48661175,5.0,5.362485185207139,2.6812425926035695,0.4
106,486750,110550,486700,110500,8,48671105,4.0,4.454267175231373,4.454267175231373,0.4
111,486750,111050,486791,111082,8,48671110,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
115,486750,111150,486700,111100,8,48671111,14.0,15.589935113309805,15.589935113309805,1.4
122,486750,111250,486700,111200,8,48671112,14.0,15.13566793807843,15.13566793807843,1.0
127,486750,111750,486775,111775,8,48671117,4.0,4.454267175231373,4.454267175231373,0.4
129,486750,117650,486710,117610,8,48671176,9.0,9.543727777810709,4.771863888905354,0.6000000000000001
132,486750,117750,486790,117775,8,48671177,13.0,13.724970370414276,4.574990123471426,1.5999999999999999
141,486850,111050,486851,111048,8,48681110,13.0,14.135667938078432,7.067833969039216,1.0
146,486850,111150,486861,111108,8,48681111,29.0,30.81706870092549,5.136178116820915,2.4
158,486850,117750,486866,117792,8,48681177,4.0,4.362485185207139,4.362485185207139,0.4
163,486950,110550,486927,110555,8,48691105,4.0,4.454267175231373,4.454267175231373,0.4
170,486950,111050,486900,111050,8,48691110,51.0,56.45120610277651,56.45120610277651,4.800000000000002
216,487050,110350,487069,110309,8,48701103,3.0,3.2271335876156866,3.2271335876156866,0.2
218,487050,110550,487000,110500,8,48701105,4.0,4.454267175231373,4.454267175231373,0.4
220,487050,111050,487055,111039,8,48701110,19.0,20.817068700925493,5.204267175231373,1.5999999999999999
236,487050,117850,487073,117896,8,48701178,13.0,13.724970370414276,3.431242592603569,1.5999999999999999
242,487150,110950,487149,110994,8,48711109,3.0,3.2271335876156866,3.2271335876156866,0.2
247,487150,111150,487100,111100,8,48711111,32.0,33.81706870092549,8.454267175231372,3.200000000000001
258,487150,117250,487100,117240,8,48711172,7.0,7.543727777810709,3.7718638889053544,0.6000000000000001
264,487250,110650,487250,110650,8,48721106,7.0,7.454267175231372,7.454267175231372,0.4
269,487250,111050,487200,111040,8,48721110,33.0,36.4070038142353,7.281400762847061,3.0000000000000004
287,487250,111150,487250,111150,8,48721111,5.0,5.227133587615686,5.227133587615686,0.2
288,487250,111550,487250,111500,8,48721115,14.0,15.589935113309805,15.589935113309805,1.4
303,487250,117650,487248,117630,8,48721176,7.0,7.181242592603569,7.181242592603569,1.0
306,487250,117850,487200,117800,8,48721178,6.0,6.543727777810709,3.2718638889053544,0.6000000000000001
309,487250,117950,487245,117965,8,48721179,3.0,3.1812425926035695,3.1812425926035695,0.2
310,487250,118050,487294,118036,8,48721180,4.0,4.362485185207139,4.362485185207139,0.4
313,487350,110650,487350,110690,8,48731106,3.0,3.2271335876156866,3.2271335876156866,0.2
317,487350,110950,487319,110917,8,48731109,4.0,4.454267175231373,4.454267175231373,0.4
319,487350,111050,487369,111046,8,48731110,23.0,24.589935113309803,6.147483778327451,2.1999999999999997
328,487350,111150,487321,111169,8,48731111,13.0,14.135667938078432,4.7118893126928105,1.0
339,487350,117950,487375,117923,8,48731179,3.0,3.1812425926035695,3.1812425926035695,0.2
341,487450,111050,487433,111092,8,48741110,15.0,15.681400762847058,5.227133587615686,1.4
345,487450,111150,487450,111150,8,48741111,7.0,7.454267175231372,7.454267175231372,0.4
347,487450,111250,487417,111238,8,48741112,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
356,487550,111350,487564,111304,8,48751113,7.0,7.68140076284706,3.84070038142353,0.6000000000000001
361,487550,113250,487550,113250,8,48751132,5.0,5.206806730218687,5.206806730218687,0.2
365,487550,114450,487580,114458,8,48751144,3.0,3.206806730218687,3.206806730218687,0.2
366,487550,117850,487532,117868,8,48751178,7.0,7.181242592603569,7.181242592603569,1.0
373,487650,113750,487669,113714,8,48761137,4.0,4.413613460437374,4.413613460437374,0.4
377,487650,114450,487678,114436,8,48761144,4.0,4.413613460437374,4.413613460437374,0.4
380,487650,117550,487670,117548,8,48761175,3.0,3.1812425926035695,3.1812425926035695,0.2
383,487650,117850,487650,117835,8,48761178,5.0,5.362485185207139,2.6812425926035695,0.4
385,487650,118450,487683,118452,8,48761184,4.0,4.362485185207139,4.362485185207139,0.4
394,487750,117750,487715,117720,8,48771177,9.0,9.362485185207138,4.681242592603569,1.2
400,487850,112450,487830,112425,8,48781124,8.0,8.206806730218688,8.206806730218688,1.0
417,487950,117750,487920,117780,8,48791177,9.0,9.362485185207138,4.681242592603569,1.2
419,487950,117850,487930,117830,8,48791178,4.0,4.362485185207139,4.362485185207139,0.4
432,488050,118050,488000,118000,8,48801180,7.0,7.543727777810709,7.543727777810709,0.6000000000000001
446,488150,114450,488125,114425,8,48811144,3.0,3.206806730218687,3.206806730218687,0.2
447,488150,114550,488118,114508,8,48811145,4.0,4.413613460437374,4.413613460437374,0.4
451,488150,114650,488160,114636,8,48811146,5.0,5.413613460437374,2.706806730218687,0.4
453,488150,114750,488187,114720,8,48811147,4.0,4.413613460437374,4.413613460437374,0.4
463,488250,112650,488226,112643,8,48821126,4.0,4.413613460437374,4.413613460437374,0.4
468,488250,114850,488226,114825,8,48821148,3.0,3.206806730218687,3.206806730218687,0.2
469,488250,116950,488268,116982,8,48821169,6.0,6.620420190656061,3.3102100953280305,0.6000000000000001
481,488350,116350,488392,116387,8,48831163,8.0,8.206806730218688,8.206806730218688,1.0
485,488350,118450,488341,118406,8,48831184,3.0,3.1812425926035695,3.1812425926035695,0.2
486,488350,118550,488399,118594,8,48831185,3.0,3.1812425926035695,3.1812425926035695,0.2
503,488450,116150,488450,116146,8,48841161,10.0,10.413613460437375,5.206806730218688,1.2
507,488450,116450,488450,116450,8,48841164,7.0,7.413613460437373,7.413613460437373,0.4
511,488450,117850,488408,117858,8,48841178,6.0,6.543727777810709,3.2718638889053544,0.6000000000000001
515,488450,118150,488460,118120,8,48841181,3.0,3.1812425926035695,3.1812425926035695,0.2
517,488450,118250,488449,118209,8,48841182,20.0,21.087455555621418,10.543727777810709,1.9999999999999998
526,488450,118350,488450,118390,8,48841183,13.0,13.543727777810707,4.514575925936902,1.4
541,488550,111550,488550,111550,8,48851115,12.0,12.681400762847058,6.340700381423529,1.4
548,488550,115050,488530,115027,8,48851150,3.0,3.206806730218687,3.206806730218687,0.2
549,488550,115250,488590,115205,8,48851152,3.0,3.206806730218687,3.206806730218687,0.2
550,488550,115350,488507,115373,8,48851153,6.0,6.413613460437373,3.2068067302186867,0.4
552,488550,115450,488500,115464,8,48851154,6.0,6.620420190656061,3.3102100953280305,0.6000000000000001
557,488550,115750,488538,115712,8,48851157,4.0,4.413613460437374,4.413613460437374,0.4
559,488550,115850,488556,115804,8,48851158,5.0,5.413613460437374,2.706806730218687,0.4
561,488550,115950,488563,115944,8,48851159,5.0,5.413613460437374,2.706806730218687,0.4
563,488550,116050,488551,116067,8,48851160,6.0,6.620420190656061,3.3102100953280305,0.6000000000000001
569,488550,118050,488581,118092,8,48851180,7.0,7.543727777810709,3.7718638889053544,0.6000000000000001
572,488550,118150,488540,118150,8,48851181,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
579,488550,118250,488564,118283,8,48851182,22.0,23.087455555621418,7.695818518540473,1.9999999999999998
586,488550,118550,488507,118506,8,48851185,7.0,7.543727777810709,3.7718638889053544,0.6000000000000001
