,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
248,496750,141950,496748,141912,20,49671419,7.0,7.923978987597451,7.923978987597451,0.6000000000000001
257,496750,143350,496721,143319,20,49671433,5.0,5.4365337917137335,5.4365337917137335,0.4
260,496850,142050,496802,142036,20,49681420,7.0,7.590103945506268,3.795051972753134,0.6000000000000001
263,496850,142150,496887,142149,20,49681421,6.0,6.615985991731634,6.615985991731634,0.4
287,496850,142550,496867,142503,20,49681425,4.0,4.615985991731634,4.615985991731634,0.4
290,496950,142050,496999,142000,20,49691420,4.0,4.393402630337512,4.393402630337512,0.4
292,496950,142150,496974,142165,20,49691421,17.0,18.376909206181292,18.376909206181292,1.4
326,496950,142250,496998,142290,20,49691422,23.0,26.07992995865817,8.69330998621939,1.9999999999999998
388,496950,142350,496939,142395,20,49691423,14.0,15.847957975194902,15.847957975194902,1.2
399,496950,142450,496900,142402,20,49691424,22.0,25.07992995865817,25.07992995865817,1.9999999999999998
424,497050,141850,497078,141800,20,49701418,4.0,4.393402630337512,4.393402630337512,0.4
427,497050,142050,497000,142000,20,49701420,4.0,4.393402630337512,4.393402630337512,0.4
430,497050,142150,497075,142177,20,49701421,21.0,22.770311836518804,11.385155918259402,1.7999999999999998
445,497050,142250,497058,142273,20,49701422,31.0,33.753818412362584,16.876909206181292,2.8000000000000003
472,497050,142350,497067,142338,20,49701423,19.0,20.573610521350048,20.573610521350048,1.5999999999999999
492,497050,142450,497074,142440,20,49701424,18.0,20.463943966926536,20.463943966926536,1.5999999999999999
511,497050,142550,497075,142556,20,49701425,12.0,13.539964979329085,6.769982489664542,1.0
521,497050,142650,497023,142644,20,49701426,6.0,6.923978987597451,6.923978987597451,0.6000000000000001
525,497050,142850,497030,142832,20,49701428,8.0,9.231971983463268,9.231971983463268,0.8
533,497150,141250,497150,141206,20,49711412,4.0,4.393402630337512,4.393402630337512,0.4
535,497150,142050,497126,142074,20,49711420,9.0,9.786805260675024,9.786805260675024,0.8
539,497150,142150,497139,142143,20,49711421,23.0,24.96701315168756,12.48350657584378,1.9999999999999998
562,497150,142250,497176,142251,20,49711422,29.0,31.557117097193828,31.557117097193828,2.6
605,497150,142350,497131,142348,20,49711423,29.0,31.557117097193828,31.557117097193828,2.6
633,497150,142450,497163,142440,20,49711424,12.0,12.98350657584378,12.98350657584378,1.0
643,497150,142550,497154,142531,20,49711425,10.0,11.231971983463268,11.231971983463268,0.8
659,497150,142650,497125,142625,20,49711426,14.0,15.539964979329085,7.769982489664542,1.0
682,497150,142750,497148,142703,20,49711427,4.0,4.615985991731634,4.615985991731634,0.4
692,497150,142850,497125,142875,20,49711428,8.0,8.923978987597451,4.4619894937987254,0.6000000000000001
700,497150,142950,497142,142998,20,49711429,8.0,9.231971983463268,9.231971983463268,0.8
707,497150,143150,497189,143145,20,49711431,8.0,8.873067583427467,8.873067583427467,0.8
718,497250,142250,497228,142228,20,49721422,25.0,27.163714466856316,27.163714466856316,2.1999999999999997
730,497250,142450,497283,142438,20,49721424,15.0,16.180207891012536,16.180207891012536,1.2
749,497250,142550,497256,142512,20,49721425,11.0,11.786805260675024,11.786805260675024,0.8
756,497250,142650,497210,142640,20,49721426,17.0,18.376909206181292,18.376909206181292,1.4
772,497250,142750,497224,142712,20,49721427,15.0,16.376909206181292,16.376909206181292,1.4
783,497250,142850,497230,142890,20,49721428,22.0,25.07992995865817,25.07992995865817,1.9999999999999998
796,497250,142950,497290,142974,20,49721429,10.0,11.231971983463268,11.231971983463268,0.8
811,497250,143050,497297,143053,20,49721430,24.0,27.387922954523987,13.693961477261993,2.1999999999999997
832,497250,143150,497253,143175,20,49721431,4.0,4.4365337917137335,4.4365337917137335,0.4
