,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
603,489750,115050,489755,115050,4,48971150,33.0,34.08745555562141,34.08745555562141,2.8000000000000003
609,489750,115150,489778,115112,4,48971151,29.0,30.812425926035694,10.270808642011898,2.8
631,489850,115050,489802,115096,4,48981150,51.0,52.81242592603569,17.60414197534523,4.4
643,489850,115150,489800,115100,4,48981151,75.0,78.62485185207139,26.20828395069046,6.400000000000001
678,489950,115050,489963,115061,4,48991150,13.0,14.087455555621416,7.043727777810708,1.2
684,489950,115150,489924,115168,4,48991151,22.0,23.087455555621418,11.543727777810709,2.0
690,489950,115250,489947,115249,4,48991152,35.0,36.812425926035694,12.270808642011898,2.8
708,490050,115150,490025,115170,4,49001151,33.0,34.44994074082855,17.224970370414276,2.4000000000000004
716,490050,115250,490075,115248,4,49001152,63.0,66.08112407426067,22.02704135808689,5.0
735,490050,115350,490054,115348,4,49001153,23.0,24.087455555621418,12.043727777810709,2.0
743,490150,115350,490143,115359,4,49011153,52.0,54.537396296449955,18.179132098816652,4.4
762,490150,115450,490151,115440,4,49011154,54.0,55.993668518639254,18.664556172879752,4.6000000000000005
801,490250,115450,490207,115478,4,49021154,43.0,45.6035529852289,11.400888246307225,3.4000000000000004
814,490250,115550,490250,115500,4,49021155,44.0,45.63118333343212,22.81559166671606,3.4000000000000004
846,490350,115550,490386,115573,4,49031155,28.0,29.812425926035694,9.937475308678565,1.9999999999999998
882,490450,115650,490449,115650,4,49041156,9.0,9.181242592603569,9.181242592603569,1.0
1401,490950,116750,490974,116745,4,49091167,16.0,17.201639839336416,5.733879946445472,1.2
1407,490950,116850,490990,116845,4,49091168,18.0,19.401913145892483,9.700956572946241,1.4
1456,491050,116650,491005,116672,4,49101166,13.0,14.201639839336414,4.733879946445471,1.2
1466,491050,116750,491000,116737,4,49101167,8.0,8.801093226224276,4.400546613112138,0.8
1574,491150,116750,491155,116750,4,49111167,5.0,5.200273306556069,5.200273306556069,0.2
1575,491150,116850,491153,116850,4,49111168,28.0,29.001366532780345,29.001366532780345,1.7999999999999998
1580,491150,116950,491154,116950,4,49111169,18.0,18.801093226224275,18.801093226224275,0.8
1584,491150,117150,491154,117150,4,49111171,6.0,6.200273306556069,6.200273306556069,0.2
1612,491250,116750,491213,116728,4,49121167,16.0,16.801093226224275,5.600364408741425,0.8
1643,491250,116850,491236,116874,4,49121168,20.0,21.201639839336416,10.600819919668208,1.2
1655,491250,116950,491221,116932,4,49121169,21.0,22.001366532780345,11.000683266390173,1.0
1660,491250,117050,491256,117050,4,49121170,18.0,18.801093226224275,18.801093226224275,0.8
1664,491250,117150,491251,117150,4,49121171,6.0,6.200273306556069,6.200273306556069,0.2
1678,491350,116750,491356,116750,4,49131167,6.0,6.200273306556069,6.200273306556069,0.2
1679,491350,116950,491350,116950,4,49131169,5.0,5.200273306556069,5.200273306556069,0.2
1680,491350,117050,491351,117050,4,49131170,5.0,5.200273306556069,5.200273306556069,0.2
1681,491350,117150,491377,117150,4,49131171,5.0,5.400546613112138,5.400546613112138,0.4
1719,491650,117250,491672,117295,4,49161172,7.0,7.600819919668208,7.600819919668208,0.6000000000000001
1722,491650,117350,491695,117318,4,49161173,8.0,8.400546613112137,4.200273306556069,0.4
1739,492050,117050,492092,117016,4,49201170,5.0,5.400546613112138,5.400546613112138,0.4
1741,492050,117150,492057,117150,4,49201171,6.0,6.200273306556069,6.200273306556069,0.2
1745,492150,117250,492135,117265,4,49211172,10.0,10.600819919668208,5.300409959834104,0.6000000000000001
1776,492250,116850,492274,116896,4,49221168,5.0,5.400546613112138,5.400546613112138,0.4
1778,492250,116950,492203,116934,4,49221169,12.0,12.801093226224276,6.400546613112138,0.8
1782,492250,117150,492236,117171,4,49221171,7.0,7.600819919668208,7.600819919668208,0.6000000000000001
1785,492250,117450,492249,117450,4,49221174,6.0,6.200273306556069,6.200273306556069,0.2
1818,492350,117050,492390,117026,4,49231170,11.0,12.001366532780345,12.001366532780345,1.0
1827,492350,117150,492345,117148,4,49231171,10.0,10.600819919668208,5.300409959834104,0.6000000000000001
1830,492350,117350,492340,117342,4,49231173,22.0,23.401913145892486,11.700956572946243,1.4
