,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
2,486250,110650,486265,110642,6,48621106,4.0,4.206806730218687,4.206806730218687,0.2
3,486250,117350,486280,117310,6,48621173,11.0,11.362485185207138,5.681242592603569,1.2
9,486350,111650,486326,111665,6,48631116,9.0,9.454267175231372,9.454267175231372,0.4
11,486350,117250,486330,117240,6,48631172,20.0,21.08745555562142,5.271863888905355,1.9999999999999998
19,486450,111250,486428,111283,6,48641112,9.0,9.227133587615686,9.227133587615686,1.0
20,486450,111650,486480,111650,6,48641116,12.0,12.454267175231372,12.454267175231372,1.2
22,486450,117250,486480,117220,6,48641172,11.0,11.362485185207138,5.681242592603569,1.2
24,486450,117450,486446,117431,6,48641174,10.0,10.362485185207138,5.181242592603569,1.2
27,486550,110750,486593,110701,6,48651107,9.0,9.206806730218688,9.206806730218688,1.0
29,486650,110150,486614,110173,6,48661101,7.0,7.620420190656061,7.620420190656061,0.6000000000000001
35,486650,110250,486647,110280,6,48661102,7.0,7.620420190656061,7.620420190656061,0.6000000000000001
41,486650,110750,486600,110701,6,48661107,9.0,9.227133587615686,9.227133587615686,1.0
43,486650,117150,486618,117110,6,48661171,8.0,8.181242592603569,8.181242592603569,1.0
44,486650,117550,486662,117552,6,48661175,13.0,13.543727777810707,4.514575925936902,1.4
54,486750,110250,486793,110294,6,48671102,4.0,4.413613460437374,4.413613460437374,0.4
56,486750,117750,486799,117756,6,48671177,8.0,8.181242592603569,8.181242592603569,1.0
59,486850,117750,486816,117758,6,48681177,8.0,8.181242592603569,8.181242592603569,1.0
61,486950,110550,486925,110513,6,48691105,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
64,486950,110850,486955,110848,6,48691108,19.0,20.13566793807843,10.067833969039215,1.7999999999999998
174,486950,110950,486910,110910,6,48691109,21.0,22.362801525694117,11.181400762847058,1.9999999999999998
192,486950,111150,486961,111191,6,48691111,8.0,8.227133587615686,8.227133587615686,1.0
200,486950,111250,486910,111207,6,48691112,8.0,8.227133587615686,8.227133587615686,1.0
240,486950,117250,486967,117203,6,48691172,8.0,8.181242592603569,8.181242592603569,1.0
243,487050,110550,487015,110588,6,48701105,23.0,24.81706870092549,12.408534350462745,2.4
254,487050,110850,487070,110824,6,48701108,13.0,13.681400762847058,6.840700381423529,1.4
315,487050,111050,487025,111067,6,48701110,10.0,10.681400762847058,5.340700381423529,0.6000000000000001
318,487050,111150,487050,111150,6,48701111,6.0,6.227133587615686,6.227133587615686,0.2
320,487050,117250,487057,117201,6,48701172,4.0,4.362485185207139,4.362485185207139,0.4
322,487050,118250,487034,118233,6,48701182,4.0,4.362485185207139,4.362485185207139,0.4
324,487150,110450,487196,110428,6,48711104,10.0,10.908534350462745,10.908534350462745,0.8
328,487150,110650,487195,110695,6,48711106,23.0,24.13566793807843,8.045222646026144,2.6000000000000005
335,487150,110750,487179,110716,6,48711107,9.0,9.227133587615686,9.227133587615686,1.0
337,487150,110850,487190,110810,6,48711108,30.0,31.589935113309803,10.529978371103267,3.000000000000001
352,487150,111050,487100,111094,6,48711110,6.0,6.68140076284706,3.34070038142353,0.6000000000000001
355,487150,111150,487155,111113,6,48711111,16.0,16.68140076284706,5.560466920949019,1.4
362,487250,110650,487226,110695,6,48721106,18.0,18.68140076284706,6.227133587615686,1.4
370,487250,110750,487250,110796,6,48721107,23.0,24.589935113309803,12.294967556654901,2.1999999999999997
428,487250,110850,487255,110800,6,48721108,35.0,37.72560305138824,18.86280152569412,3.2000000000000006
602,487250,110950,487278,110900,6,48721109,15.0,15.681400762847058,7.840700381423529,1.4
606,487250,111050,487207,111001,6,48721110,8.0,8.454267175231372,4.227133587615686,0.4
608,487250,111150,487250,111150,6,48721111,6.0,6.227133587615686,6.227133587615686,0.2
609,487250,111250,487250,111215,6,48721112,12.0,12.454267175231372,6.227133587615686,1.2
614,487250,116850,487250,116850,6,48721168,6.0,6.206806730218687,6.206806730218687,0.2
616,487250,117950,487245,117965,6,48721179,32.0,33.44994074082856,8.36248518520714,3.200000000000001
696,487250,118050,487254,118002,6,48721180,9.0,9.724970370414278,9.724970370414278,0.8
707,487350,110850,487330,110890,6,48731108,37.0,39.49846946377256,13.166156487924185,3.8000000000000016
757,487350,110950,487353,110936,6,48731109,42.0,44.49846946377255,8.89969389275451,3.8000000000000016
844,487350,111150,487350,111150,6,48731111,6.0,6.227133587615686,6.227133587615686,0.2
845,487350,111250,487327,111244,6,48731112,17.0,17.68140076284706,5.893800254282353,1.4
849,487350,113350,487300,113300,6,48731133,8.0,8.206806730218688,8.206806730218688,1.0
854,487350,117950,487360,117950,6,48731179,7.0,7.543727777810709,3.7718638889053544,0.6000000000000001
881,487350,118050,487307,118099,6,48731180,17.0,17.906212963017847,8.953106481508923,1.7999999999999998
886,487450,110950,487480,110957,6,48741109,19.0,19.908534350462745,6.636178116820915,1.5999999999999999
892,487450,111050,487450,111050,6,48741110,6.0,6.227133587615686,6.227133587615686,0.2
893,487450,111150,487410,111180,6,48741111,17.0,17.68140076284706,5.893800254282353,1.4
896,487450,111250,487476,111269,6,48741112,21.0,22.13566793807843,7.378555979359477,1.7999999999999998
906,487450,111350,487490,111300,6,48741113,22.0,23.13566793807843,5.783916984519608,1.7999999999999998
913,487450,113250,487450,113250,6,48741132,6.0,6.206806730218687,6.206806730218687,0.2
914,487450,113450,487482,113462,6,48741134,8.0,8.206806730218688,8.206806730218688,1.0
965,487450,113550,487480,113514,6,48741135,8.0,8.206806730218688,8.206806730218688,1.0
979,487450,118250,487436,118219,6,48741182,4.0,4.362485185207139,4.362485185207139,0.4
982,487550,111350,487590,111360,6,48751113,31.0,33.49846946377255,11.166156487924184,3.0000000000000004
1177,487550,113350,487550,113350,6,48751133,6.0,6.206806730218687,6.206806730218687,0.2
1178,487550,113450,487550,113450,6,48751134,6.0,6.206806730218687,6.206806730218687,0.2
1181,487650,111350,487607,111390,6,48761113,18.0,19.13566793807843,9.567833969039215,1.7999999999999998
1194,487650,111450,487651,111468,6,48761114,25.0,26.589935113309803,8.863311704436601,2.1999999999999997
1204,487650,112650,487621,112638,6,48761126,14.0,14.620420190656063,7.310210095328031,1.4
1212,487650,112750,487610,112790,6,48761127,13.0,13.620420190656063,6.810210095328031,1.4
1215,487650,112850,487665,112815,6,48761128,17.0,18.034033651093438,9.017016825546719,1.7999999999999998
1243,487650,113050,487614,113001,6,48761130,4.0,4.413613460437374,4.413613460437374,0.4
1246,487650,113150,487675,113112,6,48761131,4.0,4.413613460437374,4.413613460437374,0.4
1248,487650,113750,487650,113750,6,48761137,6.0,6.206806730218687,6.206806730218687,0.2
1249,487650,113850,487611,113832,6,48761138,8.0,8.206806730218688,8.206806730218688,1.0
1250,487650,114350,487672,114385,6,48761143,11.0,11.827226920874748,11.827226920874748,0.8
1257,487650,114450,487667,114460,6,48761144,4.0,4.413613460437374,4.413613460437374,0.4
1271,487750,111350,487773,111332,6,48771113,15.0,15.454267175231372,7.727133587615686,1.2
1273,487750,111450,487739,111498,6,48771114,8.0,8.68140076284706,4.34070038142353,0.6000000000000001
1285,487750,111550,487730,111500,6,48771115,12.0,12.454267175231372,6.227133587615686,1.2
1287,487750,112050,487730,112033,6,48771120,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
1291,487750,112450,487752,112456,6,48771124,9.0,9.227133587615686,9.227133587615686,1.0
1292,487750,112550,487737,112570,6,48771125,34.0,36.48168076262425,18.240840381312125,3.2000000000000006
1392,487750,112650,487733,112601,6,48771126,25.0,26.6544538417495,13.32722692087475,2.4
1418,487750,112750,487716,112796,6,48771127,11.0,11.413613460437375,5.706806730218688,1.2
1420,487750,112850,487713,112827,6,48771128,19.0,20.240840381312125,10.120420190656063,1.9999999999999998
1462,487750,113150,487706,113120,6,48771131,4.0,4.413613460437374,4.413613460437374,0.4
1473,487850,111350,487850,111370,6,48781113,11.0,11.454267175231372,5.727133587615686,1.2
1477,487850,111450,487877,111460,6,48781114,23.0,24.362801525694117,8.120933841898038,1.9999999999999998
1510,487850,112350,487850,112350,6,48781123,6.0,6.227133587615686,6.227133587615686,0.2
1511,487850,112950,487820,112932,6,48781129,12.0,13.034033651093436,13.034033651093436,1.0
1523,487850,117750,487824,117792,6,48781177,7.0,7.543727777810709,3.7718638889053544,0.6000000000000001
1528,487850,117850,487826,117819,6,48781178,7.0,7.543727777810709,3.7718638889053544,0.6000000000000001
1534,487950,111450,487943,111483,6,48791114,24.0,25.362801525694117,6.340700381423529,1.9999999999999998
1542,487950,111550,487900,111500,6,48791115,9.0,9.227133587615686,9.227133587615686,1.0
1543,487950,112950,487920,112927,6,48791129,10.0,11.034033651093436,5.517016825546718,1.0
1551,488050,114250,488048,114289,6,48801142,8.0,8.206806730218688,8.206806730218688,1.0
1571,488050,114350,488050,114350,6,48801143,5.0,5.206806730218687,5.206806730218687,0.2
1575,488150,114650,488171,114608,6,48811146,18.0,19.44764711153081,9.723823555765405,1.4
1587,488150,114750,488186,114715,6,48811147,15.0,16.44764711153081,8.223823555765405,1.4
1598,488250,114750,488200,114766,6,48821147,12.0,13.034033651093436,6.517016825546718,1.0
1605,488250,114850,488258,114862,6,48821148,19.0,20.654453841749497,6.884817947249832,1.5999999999999999
1616,488350,115050,488350,115050,6,48831150,6.0,6.206806730218687,6.206806730218687,0.2
1621,488450,115050,488450,115050,6,48841150,6.0,6.206806730218687,6.206806730218687,0.2
1622,488450,115150,488433,115116,6,48841151,8.0,8.206806730218688,8.206806730218688,1.0
1625,488450,116150,488405,116155,6,48841161,10.0,10.827226920874748,5.413613460437374,0.8
1636,488450,118250,488450,118250,6,48841182,6.0,6.181242592603569,6.181242592603569,0.2
