"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
12,486150,111150,486181,111104,13,48611111,4,4.41361346043737,4.41361346043737,0.4,"Wertvoll"
17,486250,111150,486252,111143,13,48621111,5,5.20680673021869,5.20680673021869,0.2,"Wertvoll"
18,486250,111250,486244,111284,13,48621112,10,10.6204201906561,5.31021009532803,0.6,"Wertvoll"
24,486350,110850,486350,110843,13,48631108,5,5.20680673021869,5.20680673021869,0.2,"Wertvoll"
25,486350,111150,486340,111120,13,48631111,13,13.6204201906561,6.81021009532803,1.4,"Sehr wertvoll"
47,486450,111150,486425,111190,13,48641111,5,5.41361346043737,5.41361346043737,0.4,"Wertvoll"
54,486450,111750,486400,111700,13,48641117,6,6.62042019065606,6.62042019065606,0.6,"Sehr wertvoll"
71,486550,111150,486570,111120,13,48651111,7,7.45426717523137,3.72713358761569,0.4,"Wertvoll"
73,486550,111250,486500,111200,13,48651112,6,6.68140076284706,6.68140076284706,0.6,"Sehr wertvoll"
91,486650,111250,486600,111200,13,48661112,4,4.45426717523137,4.45426717523137,0.4,"Wertvoll"
106,486750,110950,486738,110974,13,48671109,7,7.45426717523137,3.72713358761569,0.4,"Wertvoll"
110,486750,111150,486780,111180,13,48671111,16,17.8170687009255,8.90853435046275,1.6,"Sehr wertvoll"
122,486750,111550,486747,111549,13,48671115,6,6.22713358761569,6.22713358761569,1,"Wertvoll"
135,486850,111050,486805,111000,13,48681110,9,9.68140076284706,4.84070038142353,0.6,"Wertvoll"
140,486850,111250,486845,111250,13,48681112,5,5.22713358761569,5.22713358761569,0.2,"Wertvoll"
141,486850,111650,486853,111643,13,48681116,6,6.22713358761569,6.22713358761569,1,"Wertvoll"
142,486850,111750,486847,111757,13,48681117,6,6.22713358761569,6.22713358761569,1,"Wertvoll"
158,486950,111050,486900,111050,13,48691110,27,29.9527366390039,29.9527366390039,2.6,"Sehr wertvoll"
183,486950,111150,486958,111145,13,48691111,5,5.22713358761569,5.22713358761569,0.2,"Wertvoll"
186,486950,111650,486946,111646,13,48691116,6,6.22713358761569,6.22713358761569,1,"Wertvoll"
218,487050,111050,487095,111095,13,48701110,16,17.3628015256941,4.34070038142353,1.2,"Wertvoll"
240,487050,113050,487078,113032,13,48701130,6,6.62042019065606,3.31021009532803,0.6,"Wertvoll"
255,487150,111050,487101,111085,13,48711110,9,9.68140076284706,3.22713358761569,0.6,"Wertvoll"
263,487150,111150,487157,111134,13,48711111,15,16.3628015256941,5.45426717523137,1.2,"Wertvoll"
292,487250,110850,487256,110833,13,48721108,7,7.68140076284706,3.84070038142353,0.6,"Wertvoll"
310,487250,111050,487280,111070,13,48721110,22,23.8170687009255,4.7634137401851,1.6,"Wertvoll"
339,487250,111150,487280,111190,13,48721111,7,7.45426717523137,3.72713358761569,0.4,"Wertvoll"
360,487250,118650,487247,118649,13,48721186,6,6.18124259260357,6.18124259260357,1,"Wertvoll"
363,487350,110950,487332,110935,13,48731109,6,6.45426717523137,3.22713358761569,0.4,"Wertvoll"
372,487350,111050,487385,111095,13,48731110,10,10.6814007628471,3.56046692094902,0.6,"Wertvoll"
380,487350,111150,487325,111195,13,48731111,7,7.45426717523137,3.72713358761569,0.4,"Wertvoll"
403,487350,117750,487320,117760,13,48731177,5,5.36248518520714,5.36248518520714,0.4,"Wertvoll"
410,487350,117850,487352,117851,13,48731178,5,5.18124259260357,5.18124259260357,0.2,"Wertvoll"
411,487350,117950,487322,117969,13,48731179,7,7.54372777781071,3.77186388890535,0.6,"Wertvoll"
431,487450,111050,487465,111035,13,48741110,18,19.1356679380784,4.78391698451961,1,"Wertvoll"
436,487450,111150,487434,111146,13,48741111,9,9.68140076284706,4.84070038142353,0.6,"Wertvoll"
439,487450,111250,487410,111260,13,48741112,10,10.6814007628471,5.34070038142353,0.6,"Wertvoll"
444,487450,111350,487490,111310,13,48741113,11,11.6814007628471,5.84070038142353,1.4,"Wertvoll"
454,487450,112950,487450,112949,13,48741129,5,5.20680673021869,5.20680673021869,0.2,"Wertvoll"
455,487450,113150,487455,113149,13,48741131,5,5.20680673021869,5.20680673021869,0.2,"Wertvoll"
456,487450,113250,487448,113250,13,48741132,16,16.6204201906561,16.6204201906561,1.4,"Sehr wertvoll"
460,487450,116850,487449,116849,13,48741168,13,13.6204201906561,13.6204201906561,1.4,"Sehr wertvoll"
463,487450,116950,487451,116945,13,48741169,6,6.20680673021869,6.20680673021869,1,"Wertvoll"
