,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
8,486250,111250,486244,111284,10,48621112,8.0,8.206806730218688,8.206806730218688,1.0
18,486350,111150,486305,111137,10,48631111,15.0,15.82722692087475,7.913613460437375,1.5999999999999999
33,486350,111750,486361,111774,10,48631117,12.0,12.413613460437375,6.206806730218688,1.2
66,486450,111650,486430,111630,10,48641116,7.0,7.454267175231372,3.727133587615686,0.4
69,486450,111850,486437,111860,10,48641118,4.0,4.206806730218687,4.206806730218687,0.2
72,486450,111950,486459,111938,10,48641119,10.0,10.827226920874747,5.413613460437373,0.8
101,486550,111650,486531,111608,10,48651116,4.0,4.227133587615686,4.227133587615686,0.2
103,486550,112150,486571,112176,10,48651121,4.0,4.206806730218687,4.206806730218687,0.2
181,486950,112250,486923,112285,10,48691122,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
216,487050,113050,487077,113000,10,48701130,5.0,5.413613460437374,5.413613460437374,0.4
250,487150,113150,487181,113178,10,48711131,7.0,7.620420190656061,3.8102100953280305,0.6000000000000001
305,487250,112950,487234,112941,10,48721129,4.0,4.206806730218687,4.206806730218687,0.2
306,487250,113150,487286,113180,10,48721131,10.0,11.034033651093436,5.517016825546718,1.0
334,487350,111150,487348,111184,10,48731111,9.0,9.908534350462746,4.954267175231373,0.8
460,487450,113550,487430,113580,10,48741135,10.0,10.413613460437375,10.413613460437375,1.2
616,487750,112450,487752,112456,10,48771124,8.0,8.454267175231372,4.227133587615686,0.4
786,487950,112350,487970,112356,10,48791123,4.0,4.413613460437374,4.413613460437374,0.4
812,488050,112050,488030,112040,10,48801120,9.0,9.681400762847058,4.840700381423529,0.6000000000000001
820,488050,112150,488026,112144,10,48801121,4.0,4.227133587615686,4.227133587615686,0.2
824,488050,112250,488019,112217,10,48801122,14.0,14.827226920874747,7.413613460437373,0.8
872,488150,112250,488120,112298,10,48811122,4.0,4.206806730218687,4.206806730218687,0.2
873,488150,112350,488165,112316,10,48811123,7.0,7.413613460437373,3.7068067302186867,0.4
920,488350,112650,488370,112630,10,48831126,8.0,8.206806730218688,8.206806730218688,1.0
932,488350,115150,488378,115116,10,48831151,4.0,4.413613460437374,4.413613460437374,0.4
942,488350,117250,488354,117250,10,48831172,5.0,5.181242592603569,5.181242592603569,0.2
1142,488550,112250,488596,112233,10,48851122,4.0,4.227133587615686,4.227133587615686,0.2
1144,488550,112750,488559,112774,10,48851127,4.0,4.206806730218687,4.206806730218687,0.2
1241,488550,116450,488559,116458,10,48851164,8.0,8.206806730218688,8.206806730218688,1.0
