"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
13655,676050,283950,676052,283954,12,67602839,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13656,676050,284050,676048,284048,12,67602840,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13659,676150,283350,676151,283346,12,67612833,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13661,676150,283850,676154,283845,12,67612838,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13662,676150,284050,676152,284049,12,67612840,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13664,676150,284150,676153,284148,12,67612841,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13665,676250,283850,676251,283846,12,67622838,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13667,676250,283950,676252,283950,12,67622839,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13668,676250,284050,676249,284044,12,67622840,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13669,676250,284150,676251,284145,12,67622841,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13670,676250,284250,676251,284248,12,67622842,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13671,676250,284350,676253,284348,12,67622843,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13674,676350,283350,676356,283348,12,67632833,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13675,676350,283550,676346,283551,12,67632835,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13676,676350,284150,676348,284150,12,67632841,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13677,676350,284250,676352,284247,12,67632842,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13678,676350,284350,676350,284349,12,67632843,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13679,676450,284150,676448,284146,12,67642841,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13680,676450,284250,676455,284241,12,67642842,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13682,676550,284050,676553,284046,12,67652840,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13684,676550,284350,676550,284350,12,67652843,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13688,676650,283950,676653,283948,12,67662839,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13689,676650,284050,676649,284044,12,67662840,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13690,676650,284250,676653,284246,12,67662842,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13691,676650,284350,676653,284345,12,67662843,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13694,676750,284050,676789,284025,12,67672840,10,10.4943413663525,5.24717068317625,0.4,"Wertvoll"
13697,676750,284150,676751,284152,12,67672841,6,6.24717068317625,6.24717068317625,0.2,"Sehr wertvoll"
13698,676750,284250,676749,284249,12,67672842,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13700,676750,284450,676750,284448,12,67672844,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
13702,676850,283850,676851,283852,12,67682838,12,12.4943413663525,12.4943413663525,0.4,"Sehr wertvoll"
