,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
4,486450,117450,486463,117452,7,48641174,4.0,4.362485185207139,4.362485185207139,0.4
7,486550,117550,486555,117578,7,48651175,4.0,4.362485185207139,4.362485185207139,0.4
12,486650,117550,486620,117537,7,48661175,10.0,10.906212963017847,10.906212963017847,1.0
32,487050,110550,487056,110559,7,48701105,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
36,487050,110850,487015,110840,7,48701108,4.0,4.454267175231373,4.454267175231373,0.4
40,487150,111150,487100,111100,7,48711111,8.0,8.227133587615686,8.227133587615686,1.0
42,487250,110850,487286,110899,7,48721108,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
61,487350,118050,487348,118044,7,48731180,4.0,4.362485185207139,4.362485185207139,0.4
72,487650,114350,487678,114383,7,48761143,4.0,4.413613460437374,4.413613460437374,0.4
77,487750,112550,487717,112587,7,48771125,4.0,4.413613460437374,4.413613460437374,0.4
101,488150,114650,488177,114655,7,48811146,4.0,4.413613460437374,4.413613460437374,0.4
104,488150,114750,488187,114720,7,48811147,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
129,488650,115950,488670,115997,7,48861159,4.0,4.413613460437374,4.413613460437374,0.4
131,488650,117950,488679,117947,7,48861179,4.0,4.362485185207139,4.362485185207139,0.4
139,488750,112650,488712,112699,7,48871126,4.0,4.413613460437374,4.413613460437374,0.4
172,489250,116150,489274,116128,7,48921161,4.0,4.413613460437374,4.413613460437374,0.4
175,489250,117150,489234,117161,7,48921171,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
181,489550,115950,489554,115994,7,48951159,4.0,4.413613460437374,4.413613460437374,0.4
183,489550,116050,489559,116027,7,48951160,4.0,4.362485185207139,4.362485185207139,0.4
189,489550,120150,489506,120154,7,48951201,4.0,4.362485185207139,4.362485185207139,0.4
194,489750,111950,489743,111936,7,48971119,4.0,4.454267175231373,4.454267175231373,0.4
225,490350,111550,490321,111542,7,49031115,10.0,10.454267175231372,5.227133587615686,1.2
229,490450,112750,490421,112777,7,49041127,7.0,7.620420190656061,7.620420190656061,0.6000000000000001
244,490750,115750,490762,115785,7,49071157,4.0,4.400546613112138,4.400546613112138,0.4
250,490750,115850,490785,115863,7,49071158,4.0,4.400546613112138,4.400546613112138,0.4
254,490750,116050,490758,116052,7,49071160,4.0,4.400546613112138,4.400546613112138,0.4
257,490850,114950,490823,114981,7,49081149,4.0,4.400546613112138,4.400546613112138,0.4
261,490850,115150,490881,115193,7,49081151,4.0,4.400546613112138,4.400546613112138,0.4
268,490850,116250,490841,116280,7,49081162,4.0,4.400546613112138,4.400546613112138,0.4
271,490950,111650,490986,111616,7,49091116,4.0,4.227133587615686,4.227133587615686,0.2
294,491150,112650,491150,112600,7,49111126,16.0,17.001366532780345,4.250341633195086,1.7999999999999998
319,491750,115450,491725,115435,7,49171154,4.0,4.400546613112138,4.400546613112138,0.4
322,491850,113650,491862,113685,7,49181136,10.0,11.001366532780345,11.001366532780345,1.0
332,491850,113750,491897,113728,7,49181137,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
337,491950,112950,491989,112991,7,49191129,4.0,4.200273306556069,4.200273306556069,0.2
338,491950,113050,491992,113013,7,49191130,4.0,4.239447983350489,4.239447983350489,0.2
343,491950,113750,491934,113743,7,49191137,8.0,8.801093226224276,8.801093226224276,0.8
350,492050,113850,492046,113805,7,49201138,4.0,4.400546613112138,4.400546613112138,0.4
358,492250,113650,492288,113684,7,49221136,4.0,4.400546613112138,4.400546613112138,0.4
362,492250,114450,492258,114443,7,49221144,4.0,4.400546613112138,4.400546613112138,0.4
365,492350,113650,492300,113690,7,49231136,10.0,10.400546613112137,5.200273306556069,1.2
368,492350,115250,492311,115277,7,49231152,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
372,492450,118250,492492,118220,7,49241182,4.0,4.400546613112138,4.400546613112138,0.4
377,492550,113750,492531,113735,7,49251137,4.0,4.200273306556069,4.200273306556069,0.2
387,492750,119650,492775,119669,7,49271196,4.0,4.400546613112138,4.400546613112138,0.4
391,492850,119650,492877,119654,7,49281196,4.0,4.400546613112138,4.400546613112138,0.4
394,492950,115450,492984,115408,7,49291154,4.0,4.400546613112138,4.400546613112138,0.4
401,493050,115050,493001,115026,7,49301150,4.0,4.400546613112138,4.400546613112138,0.4
430,494650,112450,494689,112493,7,49461124,6.0,6.718343950051468,6.718343950051468,0.6000000000000001
437,494750,112150,494758,112152,7,49471121,6.0,6.718343950051468,6.718343950051468,0.6000000000000001
456,494950,122150,494930,122190,7,49491221,4.0,4.400546613112138,4.400546613112138,0.4
459,495050,116350,495067,116396,7,49501163,4.0,4.400546613112138,4.400546613112138,0.4
467,495050,116750,495087,116750,7,49501167,10.0,10.400546613112137,5.200273306556069,1.2
482,495050,122150,495022,122185,7,49501221,8.0,8.801093226224276,8.801093226224276,0.8
501,495250,116650,495290,116637,7,49521166,4.0,4.391104333359346,4.391104333359346,0.4
506,495250,122450,495241,122425,7,49521224,10.0,11.001366532780345,5.500683266390173,1.0
518,495350,122450,495324,122436,7,49531224,10.0,11.213012418835822,11.213012418835822,1.0
527,495450,116050,495450,116000,7,49541160,8.0,8.195552166679674,8.195552166679674,1.0
535,495650,122350,495612,122398,7,49561223,4.0,4.485204967534329,4.485204967534329,0.4
539,495650,145550,495655,145587,7,49561455,4.0,4.615985991731634,4.615985991731634,0.4
541,495750,114050,495761,114072,7,49571140,4.0,4.4788959667009784,4.4788959667009784,0.4
543,495750,122450,495757,122498,7,49571224,16.0,17.940819870137314,17.940819870137314,1.5999999999999999
553,495750,122550,495750,122500,7,49571225,10.0,11.213012418835822,5.606506209417911,1.0
563,495950,122450,495963,122455,7,49591224,4.0,4.485204967534329,4.485204967534329,0.4
