,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
10,486050,110150,486039,110182,17,48601101,10.0,11.034033651093436,11.034033651093436,1.0
20,486150,110350,486190,110323,17,48611103,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
32,486350,110650,486360,110672,17,48631106,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
40,486450,110350,486421,110384,17,48641103,4.0,4.413613460437374,4.413613460437374,0.4
42,486450,110550,486400,110500,17,48641105,4.0,4.413613460437374,4.413613460437374,0.4
44,486450,110650,486440,110695,17,48641106,4.0,4.413613460437374,4.413613460437374,0.4
53,486550,110150,486536,110100,17,48651101,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
56,486550,110250,486597,110280,17,48651102,4.0,4.413613460437374,4.413613460437374,0.4
58,486550,110550,486500,110500,17,48651105,6.0,6.620420190656061,6.620420190656061,0.6000000000000001
65,486550,117550,486556,117582,17,48651175,13.0,13.906212963017847,4.635404321005949,1.0
73,486650,110350,486600,110300,17,48661103,4.0,4.413613460437374,4.413613460437374,0.4
75,486650,110550,486600,110500,17,48661105,7.0,7.620420190656061,7.620420190656061,0.6000000000000001
86,486650,117150,486651,117150,17,48661171,6.0,6.181242592603569,6.181242592603569,0.2
89,486650,117750,486654,117707,17,48661177,4.0,4.362485185207139,4.362485185207139,0.4
95,486750,110550,486700,110500,17,48671105,4.0,4.454267175231373,4.454267175231373,0.4
112,486750,117050,486734,117095,17,48671170,4.0,4.362485185207139,4.362485185207139,0.4
114,486750,117650,486752,117655,17,48671176,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
130,486850,111050,486844,111058,17,48681110,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
139,486850,117350,486848,117350,17,48681173,6.0,6.181242592603569,6.181242592603569,0.2
146,486950,110350,486974,110332,17,48691103,6.0,6.68140076284706,3.34070038142353,0.6000000000000001
151,486950,110450,486900,110400,17,48691104,5.0,5.227133587615686,5.227133587615686,0.2
154,486950,110750,486950,110750,17,48691107,6.0,6.227133587615686,6.227133587615686,0.2
156,486950,111050,486992,111034,17,48691110,24.0,26.271335876156865,13.135667938078432,1.9999999999999998
175,486950,117850,486976,117853,17,48691178,4.0,4.362485185207139,4.362485185207139,0.4
178,487050,110350,487000,110300,17,48701103,7.0,7.68140076284706,7.68140076284706,0.6000000000000001
191,487050,117850,487094,117895,17,48701178,4.0,4.362485185207139,4.362485185207139,0.4
202,487250,111050,487206,111002,17,48721110,12.0,13.362801525694119,3.3407003814235297,1.2
217,487350,110850,487362,110802,17,48731108,4.0,4.454267175231373,4.454267175231373,0.4
228,487450,114050,487493,114073,17,48741140,4.0,4.413613460437374,4.413613460437374,0.4
241,487650,114450,487659,114408,17,48761144,4.0,4.413613460437374,4.413613460437374,0.4
261,487950,119250,487992,119205,17,48791192,4.0,4.362485185207139,4.362485185207139,0.4
270,488150,117950,488122,117952,17,48811179,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
273,488150,118350,488161,118349,17,48811183,4.0,4.362485185207139,4.362485185207139,0.4
319,488350,119150,488352,119180,17,48831191,4.0,4.362485185207139,4.362485185207139,0.4
321,488350,119250,488381,119249,17,48831192,4.0,4.362485185207139,4.362485185207139,0.4
329,488450,118050,488492,118053,17,48841180,4.0,4.362485185207139,4.362485185207139,0.4
346,488550,117950,488574,117924,17,48851179,4.0,4.362485185207139,4.362485185207139,0.4
361,488550,118550,488530,118549,17,48851185,4.0,4.362485185207139,4.362485185207139,0.4
369,488650,117650,488611,117667,17,48861176,4.0,4.362485185207139,4.362485185207139,0.4
387,488750,111250,488741,111271,17,48871112,6.0,6.68140076284706,6.68140076284706,0.6000000000000001
446,489250,116550,489234,116542,17,48921165,4.0,4.413613460437374,4.413613460437374,0.4
452,489250,118750,489208,118771,17,48921187,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
456,489250,119450,489249,119450,17,48921194,6.0,6.181242592603569,6.181242592603569,0.2
465,489350,116450,489365,116434,17,48931164,4.0,4.362485185207139,4.362485185207139,0.4
468,489350,119250,489351,119250,17,48931192,6.0,6.181242592603569,6.181242592603569,0.2
471,489450,116550,489490,116539,17,48941165,4.0,4.362485185207139,4.362485185207139,0.4
480,489450,119450,489400,119400,17,48941194,25.0,26.812425926035694,13.406212963017847,1.9999999999999998
503,489550,115950,489574,115990,17,48951159,4.0,4.413613460437374,4.413613460437374,0.4
505,489550,116350,489544,116319,17,48951163,4.0,4.362485185207139,4.362485185207139,0.4
511,489550,119650,489500,119600,17,48951196,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
515,489550,120150,489579,120191,17,48951201,6.0,6.543727777810709,6.543727777810709,0.6000000000000001
546,489750,120250,489744,120250,17,48971202,6.0,6.181242592603569,6.181242592603569,0.2
547,489850,114450,489899,114424,17,48981144,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
557,489850,114750,489825,114763,17,48981147,7.0,7.600819919668208,3.800409959834104,0.6000000000000001
565,489850,114850,489822,114848,17,48981148,7.0,7.600819919668208,3.800409959834104,0.6000000000000001
574,489950,114450,489968,114467,17,48991144,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
578,489950,114850,489933,114892,17,48991148,4.0,4.400546613112138,4.400546613112138,0.4
595,490150,120150,490118,120105,17,49011201,4.0,4.362485185207139,4.362485185207139,0.4
601,490350,113950,490352,113943,17,49031139,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
604,490350,115050,490391,115089,17,49031150,4.0,4.400546613112138,4.400546613112138,0.4
625,490550,117550,490563,117537,17,49051175,4.0,4.400546613112138,4.400546613112138,0.4
653,490950,114950,490953,114950,17,49091149,6.0,6.200273306556069,6.200273306556069,0.2
657,490950,115250,490900,115260,17,49091152,4.0,4.400546613112138,4.400546613112138,0.4
660,490950,115650,490949,115650,17,49091156,6.0,6.200273306556069,6.200273306556069,0.2
672,491250,115150,491253,115150,17,49121151,6.0,6.200273306556069,6.200273306556069,0.2
675,491350,114950,491356,114950,17,49131149,6.0,6.200273306556069,6.200273306556069,0.2
684,491450,116550,491494,116596,17,49141165,4.0,4.400546613112138,4.400546613112138,0.4
686,491450,116650,491425,116610,17,49141166,9.0,9.801093226224276,9.801093226224276,0.8
698,491550,116150,491583,116125,17,49151161,4.0,4.400546613112138,4.400546613112138,0.4
708,491650,116050,491626,116011,17,49161160,4.0,4.400546613112138,4.400546613112138,0.4
710,491650,116150,491603,116150,17,49161161,12.0,12.801093226224276,4.2670310754080925,0.8
718,491650,116350,491650,116351,17,49161163,4.0,4.400546613112138,4.400546613112138,0.4
722,491750,115850,491753,115850,17,49171158,6.0,6.200273306556069,6.200273306556069,0.2
726,491850,115850,491858,115850,17,49181158,8.0,8.400546613112137,8.400546613112137,0.4
729,491850,116150,491852,116150,17,49181161,8.0,8.400546613112137,8.400546613112137,0.4
740,492050,115650,492090,115605,17,49201156,8.0,8.400546613112137,4.200273306556069,0.4
746,492150,116050,492131,116073,17,49211160,4.0,4.400546613112138,4.400546613112138,0.4
764,492450,115150,492450,115150,17,49241151,6.0,6.200273306556069,6.200273306556069,0.2
770,492550,113850,492500,113800,17,49251138,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
773,492550,115550,492500,115500,17,49251155,5.0,5.400546613112138,5.400546613112138,0.4
777,492550,118050,492552,118050,17,49251180,6.0,6.200273306556069,6.200273306556069,0.2
781,492650,114750,492658,114712,17,49261147,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
797,492750,118150,492752,118150,17,49271181,6.0,6.200273306556069,6.200273306556069,0.2
798,492750,118350,492748,118350,17,49271183,6.0,6.200273306556069,6.200273306556069,0.2
799,492750,118450,492700,118400,17,49271184,8.0,8.801093226224276,4.400546613112138,0.8
806,492750,118550,492755,118550,17,49271185,6.0,6.200273306556069,6.200273306556069,0.2
810,492850,115450,492821,115497,17,49281154,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
813,492850,115550,492813,115567,17,49281155,4.0,4.400546613112138,4.400546613112138,0.4
818,492850,118550,492800,118500,17,49281185,4.0,4.400546613112138,4.400546613112138,0.4
825,492950,118350,492960,118304,17,49291183,9.0,9.801093226224276,9.801093226224276,0.8
829,492950,118450,492900,118400,17,49291184,5.0,5.400546613112138,5.400546613112138,0.4
833,492950,118650,492900,118600,17,49291186,4.0,4.400546613112138,4.400546613112138,0.4
845,493050,118750,493000,118700,17,49301187,4.0,4.400546613112138,4.400546613112138,0.4
847,493050,118850,493000,118800,17,49301188,8.0,8.801093226224276,8.801093226224276,0.8
856,493150,118050,493145,118046,17,49311180,4.0,4.400546613112138,4.400546613112138,0.4
859,493150,118250,493180,118210,17,49311182,8.0,8.801093226224276,4.400546613112138,0.8
864,493150,118350,493100,118300,17,49311183,8.0,8.400546613112137,4.200273306556069,0.4
866,493150,118450,493100,118400,17,49311184,9.0,9.801093226224276,9.801093226224276,0.8
870,493150,118650,493100,118600,17,49311186,8.0,8.400546613112137,8.400546613112137,0.4
872,493150,118750,493100,118700,17,49311187,16.0,17.602186452448553,17.602186452448553,1.5999999999999999
881,493150,118850,493100,118800,17,49311188,19.0,20.802459759004623,20.802459759004623,1.7999999999999998
890,493150,118950,493100,118900,17,49311189,7.0,7.600819919668208,7.600819919668208,0.6000000000000001
897,493250,118150,493297,118161,17,49321181,15.0,16.201639839336416,8.100819919668208,1.2
903,493250,118350,493200,118300,17,49321183,5.0,5.400546613112138,5.400546613112138,0.4
905,493250,118450,493200,118400,17,49321184,4.0,4.400546613112138,4.400546613112138,0.4
907,493250,118550,493200,118500,17,49321185,4.0,4.400546613112138,4.400546613112138,0.4
909,493250,118650,493200,118600,17,49321186,4.0,4.400546613112138,4.400546613112138,0.4
912,493250,118750,493200,118700,17,49321187,13.0,14.201639839336414,14.201639839336414,1.2
927,493350,118650,493300,118600,17,49331186,4.0,4.400546613112138,4.400546613112138,0.4
933,493450,116850,493427,116843,17,49341168,4.0,4.400546613112138,4.400546613112138,0.4
